n;Lista;Tablica malejąca;Tablica rosnąca;Kopiec
50000;0;10990;266618;141
49900;40;571;40;291
49800;40;1092;40;331
49700;40;1613;40;390
49600;40;2164;40;381
49500;40;2695;40;381
49400;40;3206;40;411
49300;50;3768;40;421
49200;50;4278;40;391
49100;40;4799;30;391
49000;50;5300;41;410
48900;60;6141;40;451
48800;40;6402;40;451
48700;40;6923;40;451
48600;40;7474;30;431
48500;41;7995;40;451
48400;51;8526;30;421
48300;50;9048;30;441
48200;50;9579;40;421
48100;50;10109;40;441
48000;40;10570;41;450
47900;50;11182;40;501
47800;50;11713;30;501
47700;41;12233;40;491
47600;50;12784;40;470
47500;40;13225;30;480
47400;50;13826;30;481
47300;50;14347;40;501
47200;50;14808;30;481
47100;50;15419;30;451
47000;50;15951;40;491
46900;50;16392;40;471
46800;50;17013;40;461
46700;40;17533;40;491
46600;50;21170;51;491
46500;50;18615;40;511
46400;60;19137;50;471
46300;240;19658;40;511
46200;40;20199;40;481
46100;41;20729;40;481
46000;40;21120;40;471
45900;40;21791;40;481
45800;50;22332;40;521
45700;40;22713;40;541
45600;50;23365;40;541
45500;40;28574;40;571
45400;50;29205;40;551
45300;50;25278;40;551
45200;40;25498;30;501
45100;51;26029;30;531
45000;50;26020;40;511
44900;50;26531;40;521
44800;50;27633;40;511
44700;50;27593;40;531
44600;50;28674;40;531
44500;50;29216;40;511
44400;50;29747;40;511
44300;40;30267;41;521
44200;50;30177;51;531
44100;40;31330;30;541
44000;50;31861;40;521
43900;60;32382;40;521
43800;50;32932;40;511
43700;40;33254;30;551
43600;50;33995;40;491
43500;50;33825;60;531
43400;50;35057;40;541
43300;40;35577;40;541
43200;60;36099;40;541
43100;51;36639;40;521
43000;40;37171;40;561
42900;50;37471;41;531
42800;50;38232;40;491
42700;50;38764;40;511
42600;50;39285;40;541
42500;50;39816;40;521
42400;50;40357;40;541
42300;50;43974;50;531
42200;50;41399;30;511
42100;50;41709;30;551
42000;50;42470;41;511
41900;61;42751;40;541
41800;50;43543;40;511
41700;41;43803;40;571
41600;40;44585;40;561
41500;50;44515;50;742
41400;40;45657;40;581
41300;40;45917;40;531
41200;50;46709;40;581
41100;50;47250;40;561
41000;50;47760;30;551
40900;50;48301;41;571
40800;51;48832;40;531
40700;40;49384;60;582
40600;50;49905;40;581
40500;50;50426;40;591
40400;50;50987;41;541
40300;50;51198;40;571
40200;50;52029;31;561
40100;51;52550;40;561
40000;60;53101;30;571
39900;51;53612;40;541
39800;50;54133;40;541
39700;50;65365;40;601
39600;40;69032;40;611
39500;40;66616;41;601
39400;50;67267;41;601
39300;50;67899;40;621
39200;50;68520;40;611
39100;50;69152;50;631
39000;50;69793;40;611
38900;40;58572;40;541
38800;40;59443;41;531
38700;50;59994;41;551
38600;50;60505;40;551
38500;50;61026;40;581
38400;50;61557;40;561
38300;50;60806;40;561
38200;71;62258;40;561
38100;50;63150;40;571
38000;60;66807;51;581
37900;50;64222;40;601
37800;60;64383;40;581
37700;50;80964;41;861
37600;60;78679;30;601
37500;70;79301;50;632
37400;50;66857;40;561
37300;50;67408;40;571
37200;50;67939;40;521
37100;60;68480;40;581
37000;61;69011;40;571
36900;60;69522;61;591
36800;40;70033;41;591
36700;50;70574;40;541
36600;50;71125;40;572
36500;50;71656;40;662
36400;70;72177;40;591
36300;50;72708;40;571
36200;50;73269;40;571
36100;40;73760;40;591
36000;50;75533;41;591
35900;50;77939;40;591
35800;40;75333;40;561
35700;60;75453;40;551
35600;50;76425;41;531
35500;40;76956;40;571
35400;60;80964;40;551
35300;50;78008;40;571
35200;60;78089;40;571
35100;40;79070;40;601
35000;40;79602;40;571
34900;50;79671;40;541
34800;60;80663;40;602
34700;41;81184;30;571
34600;50;81736;40;551
34500;50;82247;40;561
34400;51;82767;50;541
34300;50;83338;41;551
34200;51;83879;40;571
34100;50;100872;40;611
34000;60;101493;40;601
33900;61;102134;40;621
33800;50;102766;50;621
33700;50;86495;50;541
33600;51;87025;30;551
33500;50;87577;40;581
33400;40;91203;40;611
33300;70;88618;41;591
33200;40;89169;41;591
33100;241;87807;40;571
33000;40;90191;40;642
32900;51;90742;40;622
32800;40;89350;40;591
32700;40;94420;40;641
32600;50;90372;40;561
32500;50;92857;40;671
32400;40;93388;40;601
32300;40;95241;40;601
32200;241;94459;40;611
32100;240;95031;40;591
32000;280;95512;40;601
31900;60;95531;40;622
31800;51;96583;41;611
31700;50;97114;41;561
31600;50;97655;40;561
31500;410;98187;40;582
31400;50;98688;40;621
31300;491;99219;50;601
31200;50;99760;40;631
31100;60;100271;40;611
31000;50;100802;40;611
30900;60;101333;40;611
30800;70;101884;40;571
30700;51;102424;41;611
30600;50;102946;40;601
30500;51;102885;41;631
30400;50;104018;30;602
30300;51;107203;50;631
30200;40;105060;30;631
30100;260;105650;40;591
30000;50;106122;40;611
29900;40;109828;51;671
29800;50;110550;50;742
29700;240;107745;40;591
29600;50;108246;40;591
29500;70;108827;40;582
29400;50;109308;40;592
29300;60;109848;41;611
29200;80;110360;40;591
29100;50;113846;50;661
29000;50;111431;50;591
28900;60;111992;40;641
28800;50;112504;40;621
28700;70;113015;40;681
28600;50;113546;50;591
28500;60;114077;50;591
28400;60;113997;40;601
28300;50;115139;50;621
28200;50;115720;61;611
28100;50;116200;40;631
28000;50;120119;40;611
27900;50;117313;40;601
27800;60;117794;40;601
27700;60;118325;40;602
27600;50;123064;50;611
27500;51;122873;50;631
27400;61;123224;50;621
27300;61;123745;50;692
27200;40;120289;40;582
27100;50;121532;50;651
27000;80;122052;50;632
26900;50;122593;40;652
26800;70;123235;40;631
26700;50;123636;40;621
26600;341;124166;60;631
26500;71;123955;40;601
26400;60;125238;50;632
26300;50;125038;50;651
26200;60;126360;40;602
26100;50;126080;50;601
26000;50;127352;40;591
25900;70;128013;40;651
25800;80;128394;51;631
25700;50;128935;40;591
25600;50;129446;40;641
25500;80;131821;50;591
25400;70;130518;50;571
25300;71;131049;40;571
25200;50;130849;40;571
25100;50;132101;40;622
25000;80;135147;50;651
24900;60;132382;40;612
24800;60;133705;40;621
24700;60;134346;40;631
24600;80;134786;40;641
24500;70;135387;50;631
24400;71;135838;50;571
24300;60;139756;50;672
24200;50;136890;40;631
24100;60;137462;40;611
24000;70;137963;50;631
23900;60;141009;50;631
23800;60;139024;50;652
23700;250;139646;50;611
23600;60;142601;60;681
23500;50;143874;60;621
23400;60;141129;50;631
23300;50;141670;50;631
23200;61;142210;60;622
23100;60;146088;60;651
23000;50;143242;50;662
22900;50;143803;50;882
22800;50;147711;70;641
22700;51;144855;50;632
22600;60;145477;50;622
22500;70;145918;60;621
22400;71;175093;40;902
22300;60;175745;50;681
22200;80;147621;50;641
22100;70;148212;60;601
22000;60;152961;60;792
21900;90;159393;70;702
21800;70;149825;40;652
21700;60;153482;40;682
21600;70;150787;41;601
21500;50;151328;40;662
21400;60;151689;50;611
21300;90;152530;51;641
21200;60;152941;50;561
21100;71;153502;40;621
21000;50;153993;50;622
20900;50;154524;40;662
20800;60;155105;40;611
20700;70;155676;50;662
20600;60;156057;50;641
20500;60;156618;40;641
20400;60;160495;50;692
20300;60;157640;50;581
20200;60;158211;40;722
20100;50;158772;50;661
20000;60;159233;50;651
19900;70;159844;51;611
19800;81;160836;50;682
19700;270;163522;60;642
19600;60;161357;40;681
19500;80;161898;40;691
19400;70;162559;50;641
19300;50;162930;50;601
19200;60;168802;50;611
19100;60;163982;50;662
19000;50;165936;50;632
18900;70;165174;51;671
18800;80;169001;50;642
18700;80;166136;50;642
18600;70;166678;60;641
18500;80;166527;50;661
18400;50;167720;50;651
18300;50;168270;40;632
18200;60;168861;40;642
18100;60;169352;40;691
18000;60;169833;50;622
17900;80;170375;50;651
17800;80;169943;50;652
17700;70;171577;50;642
17600;60;170544;40;661
17500;100;175294;50;631
17400;100;173080;50;651
17300;71;173540;51;651
17200;71;174381;50;611
17100;70;174762;40;661
17000;80;174091;40;672
16900;70;175665;50;681
16800;100;175263;40;651
16700;60;176816;50;661
16600;60;177278;40;671
16500;50;177819;40;711
16400;321;178299;60;641
16300;60;178911;50;701
16200;50;178069;50;631
16100;60;179922;50;711
16000;70;179421;50;731
15900;110;181104;50;662
15800;60;180032;50;742
15700;80;182056;41;661
15600;101;182567;50;712
15500;60;183059;50;711
15400;60;182627;50;741
15300;400;183099;60;662
15200;60;184762;50;651
15100;70;185262;50;722
15000;80;185753;41;731
14900;80;189270;50;701
14800;61;186925;51;671
14700;80;187396;40;662
14600;60;187848;50;681
14500;231;188148;50;651
14400;61;190192;40;741
14300;110;189571;40;662
14200;70;190141;51;651
14100;240;194120;70;681
14000;90;191164;60;691
13900;60;191595;40;691
13800;60;195732;51;691
13700;81;190903;50;652
13600;80;198237;51;701
13500;61;193748;40;671
13400;70;194330;40;651
13300;61;197015;50;641
13200;70;198608;50;651
13100;60;196003;51;651
13000;80;195242;40;661
12900;80;195783;40;771
12800;60;197486;41;691
12700;80;202235;50;762
12600;70;202095;60;711
12500;80;203478;50;691
12400;90;198357;51;741
12300;61;198999;40;681
12200;70;200672;50;711
12100;80;202405;51;661
12000;70;204189;50;701
11900;60;201083;40;671
11800;70;202856;50;702
11700;80;203407;40;702
11600;70;203958;40;661
11500;60;204430;50;711
11400;60;208276;50;731
11300;90;205492;50;731
11200;70;205922;60;681
11100;110;205251;40;661
11000;60;211843;60;922
10900;90;207705;60;741
10800;460;207925;80;681
10700;80;209850;50;701
10600;70;209328;51;681
10500;70;209659;60;671
10400;90;212514;60;721
10300;60;210711;50;752
10200;210;211212;50;692
10100;101;211893;50;662
10000;60;212384;50;661
9900;90;211522;40;672
9800;50;216893;60;742
9700;61;213987;50;672
9600;60;218065;50;701
9500;90;213887;50;701
9400;651;214348;50;681
9300;90;216091;50;671
9200;281;220189;60;722
9100;80;217144;50;661
9000;90;217775;40;671
8900;60;217204;50;682
8800;70;216813;40;661
8700;70;216592;50;711
8600;80;218386;50;721
8500;91;219778;41;751
8400;70;224357;50;691
8300;70;220971;50;712
8200;60;220561;50;701
8100;90;222163;51;731
8000;60;222354;50;661
7900;60;222935;50;732
7800;71;223064;50;711
7700;80;224578;40;732
7600;60;223946;71;751
7500;61;229306;61;691
7400;60;224066;40;751
7300;60;225540;50;722
7200;61;227062;50;692
7100;210;225830;60;711
7000;70;227613;61;641
6900;60;226752;50;691
6800;61;229076;50;671
6700;70;229377;51;691
6600;60;227223;50;702
6500;80;227954;60;651
6400;101;231521;50;731
6300;90;233705;50;701
6200;90;231170;60;752
6100;60;236491;50;681
6000;80;229648;50;701
5900;80;233936;80;701
5800;81;233314;60;701
5700;60;239166;50;741
5600;100;235889;50;711
5500;60;236150;50;671
5400;60;234727;50;681
5300;70;240568;50;721
5200;80;245257;50;721
5100;61;240969;50;691
5000;221;241910;90;682
4900;120;294772;100;972
4800;250;240077;60;661
4700;80;240579;60;731
4600;80;248474;70;732
4500;90;239587;60;661
4400;70;241470;60;651
4300;60;246630;50;742
4200;71;243033;50;712
4100;110;242893;50;711
4000;60;243404;50;751
3900;60;253373;60;711
3800;60;245148;60;741
3700;70;244205;50;701
3600;90;247131;50;681
3500;90;246810;50;662
3400;70;245808;50;701
3300;81;246149;50;711
3200;81;248092;51;691
3100;80;246630;50;671
3000;60;248213;40;672
2900;70;248644;70;682
2800;80;250768;50;682
2700;80;258052;50;692
2600;70;250798;50;712
2500;70;251429;50;721
2400;100;252631;51;661
2300;70;252461;50;691
2200;120;253363;60;722
2100;61;252651;50;762
2000;80;262921;61;671
1900;60;253102;50;701
1800;80;253273;50;712
1700;111;261268;60;722
1600;70;255366;40;711
1500;110;257460;40;691
1400;70;255177;50;661
1300;60;255878;50;671
1200;60;257912;50;701
1100;70;258282;50;692
1000;90;259585;90;662
900;231;260246;50;651
800;50;267801;50;651
700;90;259444;50;672
600;80;261098;60;661
500;100;264875;50;751
400;70;262871;50;641
300;80;273832;50;702
200;60;262321;50;661
100;110;264424;50;712
