rozmiar;kopiec;lista;tablica
0;0.0607333;0.0708;0.118533
1;0.0882667;0.0660667;0.112267
2;0.134067;0.0621333;0.312533
3;0.0676667;0.0640667;0.116133
4;0.137667;0.0634667;0.104333
5;0.0647333;0.0642;0.0814
6;0.064;0.0660667;0.0775333
7;0.0634667;0.0922667;0.0921333
8;0.134933;0.0648;0.3134
9;0.0648;0.0634;0.0880667
10;0.0653333;0.064;0.0881333
11;0.0649333;0.0636;0.0796667
12;0.0654667;0.0648;0.0788667
13;0.064;0.0634;0.076
14;0.0654;0.0640667;0.0854667
15;0.0654;0.0908;0.1008
16;0.105667;0.0642667;0.1904
17;0.0661333;0.0634667;0.100067
18;0.0641333;0.0628;0.0975333
19;0.0660667;0.0615333;0.0869333
20;0.0656;0.062;0.0834667
21;0.0648;0.0616;0.0853333
22;0.064;0.0635333;0.0862
23;0.0640667;0.0888667;0.085
24;0.064;0.0621333;0.0855333
25;0.0648667;0.0614;0.084
26;0.0654667;0.0608667;0.0848667
27;0.0627333;0.062;0.0843333
28;0.0627333;0.0614;0.0842
29;0.0640667;0.0614;0.084
30;0.0648667;0.0634667;0.0822
31;0.0662;0.0908667;0.105067
32;0.1082;0.0633333;0.151533
33;0.0653333;0.0614667;0.1102
34;0.0649333;0.0626667;0.103067
35;0.0661333;0.0616;0.0955333
36;0.0640667;0.0608667;0.0906667
37;0.0626667;0.0613333;0.0915333
38;0.0634;0.0634667;0.091
39;0.0642;0.09;0.0915333
40;0.0655333;0.0636;0.0906667
41;0.0661333;0.0615333;0.0894667
42;0.0647333;0.0614667;0.0909333
43;0.0634667;0.0621333;0.0908667
44;0.0641333;0.0613333;0.0926667
45;0.0641333;0.061;0.0922
46;0.0655333;0.0648;0.0908667
47;0.0654;0.0922667;0.0908
48;0.0635333;0.0627333;0.0901333
49;0.0641333;0.0620667;0.0902667
50;0.0648;0.0621333;0.0908667
51;0.0654667;0.062;0.0913333
52;0.0653333;0.0622;0.0902
53;0.0649333;0.0620667;0.093
54;0.0648;0.0654667;0.0902
55;0.0640667;0.0895333;0.09
56;0.0647333;0.0627333;0.0922
57;0.0660667;0.0614667;0.0909333
58;0.0662;0.062;0.0916
59;0.0628667;0.0615333;0.0913333
60;0.0628;0.0615333;0.0896
61;0.0634;0.062;0.0903333
62;0.0647333;0.0634667;0.0908667
63;0.0641333;0.0906667;0.112667
64;0.0988;0.0642667;0.146467
65;0.0654;0.0621333;0.115667
66;0.0646667;0.0608;0.11
67;0.0649333;0.0621333;0.1016
68;0.0634667;0.0613333;0.0989333
69;0.0627333;0.0629333;0.0994
70;0.0627333;0.0640667;0.0974
71;0.0634;0.091;0.0996
72;0.0648667;0.0634;0.0983333
73;0.0648667;0.0634;0.0973333
74;0.0654667;0.0621333;0.0996
75;0.0640667;0.0621333;0.0996667
76;0.0634667;0.0628667;0.1002
77;0.0634667;0.0627333;0.098
78;0.0648;0.0647333;0.0983333
79;0.0662;0.0916;0.0982
80;0.0634;0.0633333;0.1
81;0.0629333;0.0621333;0.0994
82;0.0634667;0.0634;0.0976667
83;0.0647333;0.0635333;0.0963333
84;0.0648;0.0621333;0.0993333
85;0.0634;0.0633333;0.0996
86;0.0642667;0.0648667;0.0969333
87;0.0641333;0.0913333;0.0981333
88;0.0660667;0.0642667;0.098
89;0.0654;0.0634;0.0996
90;0.0667333;0.0608667;0.100267
91;0.0636;0.0628;0.0986667
92;0.0635333;0.0633333;0.0974667
93;0.0621333;0.0622667;0.0996667
94;0.0647333;0.0647333;0.0995333
95;0.0654;0.0935333;0.0993333
96;0.0634667;0.0634;0.0988667
97;0.0634667;0.0688667;0.0976667
98;0.0635333;0.0615333;0.0987333
99;0.0660667;0.0627333;0.0974
100;0.0649333;0.0615333;0.0970667
101;0.0634667;0.0615333;0.0976667
102;0.0634;0.0640667;0.098
103;0.0648;0.0895333;0.0994667
104;0.0654;0.0620667;0.0990667
105;0.0649333;0.0621333;0.0995333
106;0.0654667;0.0600667;0.1
107;0.0634;0.0608;0.0974
108;0.0640667;0.0607333;0.099
109;0.0674;0.0606667;0.0994
110;0.0656;0.0633333;0.0981333
111;0.0655333;0.0920667;0.0990667
112;0.0641333;0.0616;0.100333
113;0.0640667;0.0613333;0.0993333
114;0.0634667;0.0608;0.0981333
115;0.0648;0.0614;0.0997333
116;0.0648;0.0613333;0.0988
117;0.0641333;0.0609333;0.1
118;0.0640667;0.0633333;0.0968
119;0.0635333;0.0895333;0.0997333
120;0.0648;0.0642;0.0994
121;0.0646667;0.0614;0.0981333
122;0.0668;0.0616;0.0971333
123;0.0647333;0.0600667;0.0996
124;0.0642667;0.0616;0.098
125;0.0628;0.0628667;0.0995333
126;0.0646667;0.0634;0.0984667
127;0.0654;0.0922;0.120067
128;0.2306;0.0614;0.352133
129;0.0667333;0.0600667;0.1236
130;0.0648667;0.0600667;0.114067
131;0.0654;0.0601333;0.110133
132;0.0662667;0.0593333;0.1056
133;0.0642;0.0600667;0.106733
134;0.0640667;0.0620667;0.106667
135;0.0647333;0.088;0.106467
136;0.0646667;0.0616;0.105533
137;0.0643333;0.0600667;0.106733
138;0.0648667;0.0594667;0.105467
139;0.0620667;0.0595333;0.105
140;0.0614;0.0593333;0.1054
141;0.062;0.0602;0.106733
142;0.0642667;0.0627333;0.106533
143;0.0654667;0.0888667;0.1062
144;0.0641333;0.0615333;0.106067
145;0.0640667;0.0594;0.1068
146;0.0646667;0.0602;0.107667
147;0.0668667;0.06;0.105467
148;0.0654;0.0608667;0.1034
149;0.0648667;0.0602;0.1052
150;0.0647333;0.0620667;0.104067
151;0.0648667;0.0882667;0.104067
152;0.0662667;0.0620667;0.106133
153;0.0660667;0.0607333;0.105667
154;0.0654667;0.0594;0.1054
155;0.0633333;0.0594667;0.106733
156;0.0636667;0.0601333;0.1052
157;0.0635333;0.0607333;0.1034
158;0.0640667;0.0621333;0.104
159;0.0647333;0.0906667;0.104733
160;0.0613333;0.0602;0.106333
161;0.0616;0.06;0.106067
162;0.0614667;0.0614;0.106733
163;0.0634667;0.0601333;0.107333
164;0.0634;0.06;0.104733
165;0.0626667;0.0608667;0.105333
