rozmiar;kopiec;lista;tablica
0;0.0608;0.0642;0.0803333
1;0.110733;0.0734667;0.0986667
2;0.158533;0.0768;0.246533
3;0.121533;0.0786667;0.0981333
4;0.1968;0.0836;0.152133
5;0.123533;0.0882;0.1268
6;0.114267;0.0928667;0.131067
7;0.1488;0.112133;0.137467
8;0.231733;0.0975333;0.2258
9;0.146;0.0941333;0.1636
10;0.1452;0.1002;0.170867
11;0.1476;0.106867;0.1792
12;0.146867;0.1082;0.187533
13;0.147533;0.109533;0.185867
14;0.1436;0.1134;0.192267
15;0.187267;0.132867;0.2032
16;0.227667;0.120867;0.301133
17;0.173267;0.122133;0.2452
18;0.168867;0.1242;0.2532
19;0.168733;0.1276;0.253133
20;0.1684;0.1296;0.259267
21;0.172933;0.130867;0.260333
22;0.171267;0.1376;0.2698
23;0.168933;0.1656;0.278533
24;0.1688;0.143;0.285067
25;0.168867;0.1424;0.293333
26;0.1676;0.1462;0.304533
27;0.169933;0.1502;0.3118
28;0.168267;0.1544;0.3214
29;0.169;0.156333;0.329333
30;0.167467;0.160333;0.3346
31;0.192867;0.188333;0.343867
32;0.252067;0.165067;0.432267
33;0.197533;0.166333;0.3834
34;0.1944;0.171;0.394733
35;0.192933;0.172333;0.393467
36;0.194;0.175533;0.402733
37;0.194333;0.176933;0.404067
38;0.193933;0.183667;0.412133
39;0.1936;0.2104;0.419533
40;0.193867;0.191067;0.4262
41;0.192867;0.190333;0.435467
42;0.195067;0.193133;0.4428
43;0.193467;0.1964;0.454267
44;0.1936;0.199133;0.460867
45;0.1944;0.201;0.4708
46;0.204933;0.205733;0.4762
47;0.1932;0.234333;0.485533
48;0.192333;0.213867;0.497
49;0.193267;0.212333;0.5036
50;0.1936;0.2144;0.513667
51;0.191933;0.217667;0.520333
52;0.192933;0.222467;0.529667
53;0.1944;0.225;0.539
54;0.192133;0.229933;0.549667
55;0.192933;0.257067;0.555067
56;0.1944;0.239133;0.561667
57;0.192933;0.237133;0.5704
58;0.192533;0.238533;0.577733
59;0.191667;0.243733;0.5884
60;0.191933;0.2444;0.5964
61;0.1956;0.458267;0.605867
62;0.2006;0.254467;0.6112
63;0.217;0.281933;0.621933
64;0.251933;0.259867;0.692067
65;0.220333;0.260467;0.6586
66;0.2166;0.261733;0.6646
67;0.219667;0.264467;0.6706
68;0.2186;0.267933;0.681133
69;0.220333;0.2724;0.689867
70;0.223933;0.2758;0.697267
71;0.218333;0.3046;0.705333
72;0.221267;0.283933;0.7122
73;0.223;0.281933;0.722667
74;0.219333;0.283867;0.732067
75;0.221;0.2892;0.736733
76;0.22;0.2914;0.747467
77;0.219667;0.2932;0.756733
78;0.216667;0.299933;0.762733
79;0.219667;0.3254;0.772067
80;0.22;0.3052;0.778933
81;0.219;0.304;0.791533
82;0.217267;0.308067;0.797467
83;0.2216;0.312533;0.805
84;0.215267;0.314;0.813467
85;0.216933;0.317333;0.823667
86;0.219867;0.320533;0.8316
87;0.214933;0.35;0.840267
88;0.216533;0.329267;0.847667
89;0.2196;0.330067;0.857667
90;0.2192;0.328533;0.865
91;0.216933;0.338067;0.8944
92;0.2192;0.34;0.888333
93;0.216933;0.341333;0.8964
94;0.213867;0.345133;0.902333
95;0.2176;0.372;0.911067
96;0.2192;0.351933;0.918267
97;0.214933;0.353467;0.9284
98;0.217867;0.3552;0.9352
99;0.219;0.3568;0.942467
100;0.214533;0.360667;0.949733
101;0.219667;0.3662;0.960467
102;0.218533;0.368533;0.973933
103;0.215;0.393333;0.975133
104;0.219867;0.379467;0.9858
105;0.219667;0.378667;0.9938
106;0.216533;0.378867;1.00133
107;0.218267;0.382;1.01133
108;0.218533;0.385933;1.02133
109;0.220333;0.388133;1.02933
110;0.2192;0.392733;1.03513
111;0.217667;0.4194;1.044
112;0.217867;0.397533;1.056
113;0.218933;0.400867;1.06407
114;0.216533;0.401267;1.07467
115;0.215;0.4048;1.086
116;0.218533;0.4068;1.09073
117;0.218267;0.4108;1.09813
118;0.218533;0.416;1.10867
119;0.217667;0.442267;1.12147
120;0.218467;0.422267;1.12087
121;0.218933;0.4222;1.12947
122;0.217133;0.421933;1.13827
123;0.2156;0.428667;1.14553
124;0.2178;0.427533;1.1542
125;0.219;0.433467;1.1628
126;0.2158;0.436267;1.1682
127;0.241667;0.464333;1.17827
128;0.38;0.444867;1.39593
129;0.2446;0.444067;1.215
130;0.241667;0.4462;1.2224
131;0.244467;0.451533;1.223
132;0.246467;0.4536;1.2282
133;0.241733;0.456333;1.23767
134;0.2432;0.462267;1.24713
135;0.2464;0.491;1.25247
136;0.2412;0.470333;1.2624
137;0.243733;0.466267;1.26847
138;0.243267;0.4696;1.27773
139;0.243733;0.4756;1.28847
140;0.242733;0.478267;1.29447
141;0.242333;0.480267;1.3038
142;0.2438;0.486267;1.3104
143;0.241133;0.512933;1.3212
144;0.2424;0.491667;1.3292
145;0.241267;0.492933;1.33787
146;0.242333;0.496267;1.34733
147;0.2412;0.497;1.35313
148;0.241067;0.501;1.36327
149;0.241933;0.504333;1.37147
150;0.240267;0.509;1.38053
151;0.241333;0.537067;1.3906
152;0.241;0.515667;1.3992
153;0.242533;0.515;1.40527
154;0.241133;0.517;1.4126
155;0.241;0.521667;1.42067
156;0.241333;0.526333;1.43067
157;0.241667;0.527733;1.43887
158;0.2406;0.7414;1.446
159;0.241067;0.567;1.45527
160;0.243267;0.539;1.4642
161;0.242267;0.539667;1.4708
162;0.241933;0.542333;1.48007
163;0.241733;0.543667;1.48873
164;0.242533;0.547733;1.4956
165;0.2426;0.552333;1.5056
166;0.242933;0.5558;1.51287
167;0.241933;0.581733;1.52287
168;0.240333;0.566333;1.53027
169;0.2426;0.563;1.54027
170;0.2404;0.566333;1.5482
171;0.242533;0.569867;1.55693
172;0.242933;0.571133;1.565
173;0.244533;0.5744;1.57433
174;0.2424;0.577667;1.579
175;0.243;0.605;1.58967
176;0.2426;0.589333;1.60107
177;0.2424;0.587267;1.60907
178;0.241267;0.5864;1.6172
179;0.241667;0.590333;1.62367
180;0.2406;0.5924;1.6324
181;0.241067;0.595867;1.6406
182;0.241867;0.6004;1.6478
183;0.245;0.629067;1.658
184;0.251867;0.6298;1.6778
185;0.2512;0.6288;1.684
186;0.256333;0.6318;1.69853
187;0.241867;0.622467;1.6898
188;0.243067;0.618467;1.6964
189;0.241267;0.630133;1.7058
190;0.241067;0.637133;1.71393
191;0.241867;0.666;1.7232
192;0.241733;0.642667;1.73187
193;0.2412;0.6418;1.74247
194;0.241067;0.647333;1.7508
195;0.241;0.650667;1.75673
196;0.2406;0.652533;1.76747
197;0.241667;0.6546;1.77553
198;0.241267;0.6598;1.7826
199;0.243067;0.686533;1.7902
200;0.2446;0.6632;1.7972
201;0.242933;0.6634;1.8062
202;0.2446;0.662533;1.81667
203;0.242333;0.6712;1.84493
204;0.243133;0.673467;1.84153
205;0.2432;0.669133;1.84953
206;0.2436;0.673133;1.8582
207;0.243867;0.7036;1.8688
208;0.2424;0.685867;1.875
209;0.259267;0.681333;1.88227
210;0.257;0.683267;1.8936
211;0.256533;0.6886;1.90033
212;0.2598;0.689;1.90827
213;0.255733;0.6992;1.90833
214;0.251867;0.7014;1.91973
215;0.249733;0.728467;1.92647
216;0.245267;0.718533;1.9336
217;0.249;0.706733;1.94307
218;0.241933;0.707933;1.95173
219;0.2404;0.712333;1.96113
220;0.2418;0.7126;1.9686
221;0.244467;0.718333;1.9776
222;0.241;0.728533;1.98453
223;0.242533;0.7564;1.99313
224;0.242333;0.739867;2.00307
225;0.241267;0.733733;2.00847
226;0.241;0.744533;2.01793
227;0.242;0.7464;2.02713
228;0.2416;0.7492;2.0358
229;0.2418;0.7598;2.04447
230;0.2418;0.7572;2.05133
231;0.2412;0.789;2.06133
232;0.242467;0.774133;2.2744
233;0.243667;0.7668;2.07667
234;0.2398;0.7688;2.0852
235;0.247067;0.994333;2.09467
236;0.247267;0.778867;2.10333
237;0.245667;0.780133;2.1114
238;0.240533;0.782733;2.1174
239;0.2424;0.814867;2.12867
240;0.246467;0.800067;2.1388
241;0.241133;0.7922;2.3866
242;0.245;0.793;2.15467
243;0.241933;0.795933;2.16
244;0.241733;0.798267;2.16747
245;0.2412;0.805667;2.17673
246;0.241067;0.8114;2.20833
247;0.243267;0.8398;2.20553
248;0.241667;0.822933;2.20753
249;0.2412;0.8154;2.21553
250;0.244467;0.819733;2.23227
251;0.242467;0.8214;2.23413
252;0.243267;0.844267;2.24167
253;0.242333;0.833067;2.45607
254;0.2412;0.840067;2.2608
255;0.265733;0.872267;2.27033
256;0.314;0.8558;2.48133
257;0.268467;0.844133;2.29507
258;0.267067;0.846133;2.30233
259;0.2672;0.851667;2.52887
260;0.269733;0.858867;2.321
261;0.2672;0.864133;2.32987
262;0.2672;0.871667;2.33573
263;0.267067;0.901067;2.3452
264;0.267867;0.891667;2.3518
265;0.265733;0.879;2.35907
266;0.269267;0.879067;2.36987
267;0.267867;0.883;2.37707
268;0.2664;0.8844;2.38527
269;0.265933;0.889733;2.39387
270;0.269067;0.896467;2.4012
271;0.267867;0.928333;2.40933
272;0.267133;0.914467;2.4172
273;0.2652;0.9046;2.42593
274;0.266;0.906333;2.43607
275;0.266467;0.937133;2.44527
276;0.267867;0.922933;2.45253
277;0.267133;0.927733;2.45933
278;0.2692;0.935333;2.46873
279;0.267933;0.9644;2.47753
280;0.269067;0.9598;2.68173
281;0.265933;0.947867;2.49547
282;0.265067;0.952533;2.50407
283;0.2658;0.953;2.51193
284;0.269267;0.953133;2.5214
285;0.267;1.16287;2.53093
286;0.265933;0.941;2.85213
287;0.264467;0.975867;2.5474
288;0.2712;0.963133;2.55347
289;0.267267;0.955133;2.56153
290;0.269067;0.956533;2.569
291;0.266533;0.9646;2.57693
292;0.268467;0.976;2.58827
293;0.2646;0.970533;2.59833
294;0.266467;0.9798;2.60567
295;0.2678;1.00447;2.613
296;0.266533;0.995;2.62233
