rozmiar;kopiec;lista;tablica
0;1.42473;1.38753;1.4668
1;1.42487;1.33627;1.40147
2;1.42953;1.43853;1.41547
3;1.45267;1.4388;1.33653
4;1.4852;1.369;1.406
5;1.46673;1.43893;1.4248
6;1.43407;1.3826;1.40607
7;1.58327;1.38767;1.4202
8;1.5968;1.39213;1.50853
9;1.55987;1.35967;1.45733
10;1.5272;1.41073;1.39213
11;1.6066;1.42473;1.41993
12;1.59693;1.4388;1.4294
13;1.6856;1.29447;1.39213
14;1.61553;1.42947;1.45273
15;1.6202;1.39693;1.42493
16;1.64827;1.36407;1.42933
17;1.68087;1.43413;1.45267
18;1.63887;1.35033;1.46673
19;1.66233;1.39667;1.49007
20;2.28613;1.44347;1.39227
21;1.5692;1.28993;1.50867
22;1.653;1.42473;1.5784
23;1.6156;1.40633;1.53653
24;1.66673;1.3036;1.6064
25;1.66227;1.341;1.63887
26;1.5922;1.3224;1.7136
27;1.59227;1.40607;1.62027
28;1.74133;1.30387;1.55987
29;1.6668;1.3596;1.6482
30;1.583;1.41087;1.57373
31;1.64833;1.3456;1.55047
32;1.52253;1.3456;1.68533
33;1.732;1.40613;1.5878
34;2.42107;1.40167;1.63413
35;1.65753;1.392;1.57367
36;1.57827;1.31313;1.55033
37;1.70887;1.36427;1.75547
38;1.6388;1.38753;1.66227
39;1.67633;1.327;1.653
40;1.69027;1.38747;1.65747
41;1.64833;1.38753;1.5924
42;1.5226;1.42947;1.57373
43;1.6574;1.33633;1.56913
44;1.55053;1.406;1.69
45;1.5224;1.39687;1.5646
46;1.62973;1.36873;1.59227
47;1.6296;1.37827;1.67647
48;1.61107;1.31287;1.69013
49;1.51327;1.47613;1.72293
50;1.60647;1.41547;1.69027
51;1.58293;1.31307;1.74133
52;1.5878;1.36407;1.67147
53;1.5922;1.32693;1.71347
54;1.78807;1.35493;1.70433
55;1.67613;1.38753;1.77407
56;1.73687;1.41087;1.70873
57;1.6622;1.37827;1.639
58;1.6856;1.40633;1.73653
59;1.59693;1.36893;1.67153
60;1.76933;1.31307;1.69007
61;1.58307;1.38733;1.72267
62;1.64833;1.3876;1.61573
63;1.78313;1.41993;1.79733
64;1.55973;1.36887;1.7834
65;1.6482;1.38273;1.78313
66;1.611;1.96507;1.80673
67;1.67627;1.36873;1.81127
68;1.667;1.42967;1.7602
69;1.56447;1.3734;1.84827
70;1.64367;1.36893;1.788
71;1.68547;1.313;1.87187
72;1.69967;1.39687;1.8672
73;1.7368;1.369;1.7972
74;1.59713;1.40147;1.86713
75;1.77853;1.46207;1.7554
76;1.67627;1.3968;1.8718
77;1.80627;1.42467;1.76007
78;1.62047;1.41553;1.87167
79;1.6808;1.33167;1.8486
80;1.64367;1.44327;1.84367
81;1.64373;1.43873;1.78793
82;1.7226;2.10453;1.8904
83;1.7742;1.27113;1.8532
84;1.62953;1.36427;1.82513
85;2.249;1.3782;1.8998
86;1.64347;1.30373;1.83433
87;1.6808;1.40153;1.87193
88;1.61113;1.3736;1.8206
89;1.68073;1.39207;1.8296
90;1.746;1.38753;1.91373
91;1.6482;1.383;1.86227
92;1.681;1.4108;1.89513
93;1.7134;1.31293;1.9414
94;1.63873;1.3968;1.91367
95;1.6856;1.439;1.9508
96;1.71807;1.35953;1.923
97;1.67153;1.47133;1.9512
98;1.70393;1.36893;1.90867
99;1.76;1.40613;1.9184
100;1.6578;1.3502;1.91793
101;1.65287;1.392;1.93233
102;1.7228;1.42473;1.88573
103;1.69493;1.42;1.96953
104;1.75533;1.32693;1.93693
105;1.61113;1.41547;1.91827
106;1.77867;1.40607;1.91847
107;1.69007;2.0022;1.86227
108;1.73673;1.36867;1.9416
109;1.82513;1.3828;1.99747
110;1.62513;1.3318;1.9974
111;1.65293;1.45747;2.04867
112;1.723;1.39207;2.081
113;1.71793;1.3038;2.02093
114;1.65767;1.4106;2.00207
115;1.70393;1.39687;2.0116
116;1.65307;1.3644;2.04387
117;1.718;1.44333;2.123
118;1.7322;1.41567;2.007
119;1.68527;1.36433;2.0346
120;1.62973;1.3502;2.0582
121;1.72267;1.3364;2.07207
122;1.75073;1.43413;2.04873
123;1.6574;1.38293;2.05333
124;1.7882;1.4016;2.07673
125;1.68533;1.28047;2.06287
126;1.57853;1.46213;2.09967
127;1.81593;1.32233;2.16053
128;1.63893;1.37353;1.9648
129;1.7834;1.41553;2.07213
130;1.65273;1.41547;2.18827
131;1.7508;1.3874;2.12773
132;1.69;1.3924;2.1512
133;1.6856;1.34073;2.9192
134;1.71353;1.397;2.09047
135;1.68553;1.33633;2.1466
136;1.69933;1.42473;2.0346
137;1.74613;1.2524;2.1046
138;1.78327;1.39673;2.13247
139;1.74613;1.40153;2.23493
140;1.74593;1.34087;2.1884
141;1.7416;1.42013;2.21167
142;1.6156;1.41993;2.34213
143;1.7322;1.32713;2.18353
144;1.85287;1.41993;2.249
145;1.67627;1.43427;2.14673
146;1.64347;1.30833;2.20673
147;1.73207;1.39687;2.92413
148;1.853;1.39687;2.22087
149;1.61567;1.3362;2.20707
150;1.73207;1.43867;2.2722
151;1.62967;1.3968;2.16953
152;1.77867;1.34573;2.21167
153;1.7646;1.39213;2.30947
154;1.64373;1.42933;2.1788
155;1.681;1.24313;2.23973
156;1.78813;1.35967;2.24413
157;1.6948;1.33147;2.29087
158;1.6902;1.32707;2.2304
159;1.7414;1.44347;2.2116
160;1.77887;1.42027;2.2676
161;1.65273;1.3316;2.26287
162;1.6904;1.40153;2.25347
163;1.68073;1.40153;2.347
164;1.79267;1.41567;2.28607
165;1.74113;1.31313;2.31893
166;1.62967;1.38767;2.29093
167;1.65733;1.3688;2.3372
168;1.681;1.462;2.30947
169;1.6716;1.41527;2.37913
