rozmiar;kopiec;lista;tablica
1;1.35507;1.23393;1.72753
26;1.44807;1.3178;1.4154
51;1.41567;1.1968;1.45747
76;1.40147;1.2992;1.4994
101;1.49;1.1826;1.45267
126;1.44327;1.17807;1.4156
151;1.4202;1.2012;1.40147
176;1.42947;1.17813;1.4808
201;1.49453;1.18267;1.4854
226;1.45747;1.24327;1.41093
251;1.4482;1.2664;1.4248
276;1.42007;1.136;1.4296
301;1.43873;1.10833;1.383
326;1.34573;1.09893;1.48533
351;1.39687;1.1826;1.3922
376;1.476;1.1732;1.5272
401;1.4528;1.1734;1.45287
426;1.4062;1.13613;1.42027
451;1.37373;1.2152;2.05807
476;1.4712;1.20127;1.48067
501;1.42953;1.30833;1.42027
526;1.44347;1.3364;1.48547
551;1.46653;1.3316;1.42967
576;1.45287;1.22;1.40613
601;1.39693;1.27127;1.532
626;1.40147;1.17347;1.49927
651;1.40147;1.21527;1.37833
676;1.42493;1.25707;1.43413
701;1.4714;1.18727;1.49
726;1.48047;1.21533;2.1792
751;1.45273;1.3318;1.4572
776;1.40147;1.22933;1.42947
801;1.40613;1.35033;1.42927
826;1.397;1.17787;1.40147
851;2.13727;1.16873;1.48067
876;1.40147;1.15007;1.43867
901;1.47147;1.192;1.47133
926;1.434;1.2386;1.46207
951;1.42927;1.1036;1.48067
976;1.45753;1.33627;1.39213
1001;1.43887;1.2992;1.44353
1026;1.40153;1.18273;1.49473
1051;1.49007;1.21527;1.48067
1076;1.46647;1.21513;1.425
1101;1.4574;1.29913;1.4668
1126;1.49467;1.17813;1.44793
1151;1.43887;1.21547;1.42027
1176;1.42007;1.25253;1.45273
1201;1.4202;1.12227;1.49007
1226;1.47133;1.16413;1.4946
1251;1.43407;1.18267;1.44347
1276;1.4432;1.16413;1.44787
1301;1.43387;1.26653;1.46207
1326;1.38307;1.27107;1.43413
1351;1.47613;1.25707;1.4156
1376;1.42013;1.14547;1.46213
1401;1.48987;1.17333;1.4202
1426;1.41093;1.2944;1.39233
1451;1.47153;1.19213;1.4296
1476;1.49;1.2526;1.46667
1501;1.369;1.74613;1.43893
1526;1.40607;1.16853;1.45733
