rozmiar;kopiec;lista;tablica
0;1.42033;1.38287;1.45713
1;1.3734;1.3642;1.38767
2;1.37827;1.31313;1.33613
3;1.40147;1.37347;1.341
4;1.3782;1.32253;1.25713
5;1.40627;1.30387;1.28987
6;1.40613;1.30367;1.33153
7;1.32247;1.3502;1.36893
8;1.26653;1.33627;1.27587
9;1.33613;2.02067;1.364
10;1.35947;1.42007;1.32707
11;1.33147;1.355;1.29893
12;1.42947;1.2758;1.38287
13;1.32707;1.2758;1.29893
14;1.34113;1.32687;1.35487
15;1.22447;1.30833;1.2944
16;1.36433;1.2432;1.27113
17;1.39213;1.29913;1.36433
18;1.32233;1.3688;1.36427
19;1.42467;1.4388;1.33173
20;1.2944;1.3968;1.36427
21;1.36867;1.35507;1.3968
22;1.36907;1.33167;1.25727
23;1.3456;2.491;1.27573
24;1.40167;1.35953;1.30853
25;1.36887;1.29913;1.35953
26;1.42007;1.27593;2.0208
27;1.4248;1.36893;1.406
28;1.2292;1.28053;1.31313
29;1.39693;1.2664;1.36893
30;1.39673;1.341;1.38753
31;1.42953;1.3176;1.2432
32;1.341;1.28033;1.30373
33;1.2992;1.40607;1.2386
34;1.271;1.3456;1.27587
35;1.40627;1.29433;1.37353
36;1.34073;1.34573;1.36427
37;1.35507;1.35967;1.35507
38;1.29893;1.36873;1.30833
39;1.37827;1.33173;1.34087
40;1.29893;1.28033;1.2942
41;1.27107;1.2898;1.41073
42;1.3734;1.13613;1.3224
43;1.32707;1.28033;1.34107
44;1.2756;1.30373;1.36413
45;1.3504;1.38747;1.3642
46;1.39227;1.36907;1.36873
47;1.3688;1.31767;1.37367
48;1.40607;1.28027;1.42933
49;1.42467;1.43433;1.29907
50;1.40153;1.40153;1.26647
51;2.00207;1.341;1.434
52;1.35507;1.3596;1.32687
53;1.34087;1.30833;1.34093
54;1.3038;1.94167;1.38747
55;1.4014;1.1874;1.30833
56;1.36893;1.35033;1.28027
57;1.40607;1.31313;1.35973
58;1.3318;1.3364;1.34567
59;1.30827;1.3922;1.369
60;2.007;1.3036;1.3458
61;1.33627;1.3316;1.33627
62;1.32247;1.30833;1.39693
63;2.08587;1.327;1.2712
64;1.23853;1.39207;1.35513
65;1.43393;1.22933;1.3782
66;1.3782;1.27107;1.17347
67;1.3504;1.299;1.34567
68;1.3038;1.4014;1.3456
69;1.39213;1.30847;1.3688
70;1.35953;1.30833;1.4246
71;1.31287;1.33627;1.36427
72;1.3642;1.37813;1.42933
73;1.369;1.34573;1.355
74;1.313;1.29913;1.38273
75;1.30847;1.3922;1.32707
76;1.3084;1.33167;1.36413
77;1.32693;1.3456;1.35493
78;1.37347;1.3642;1.23393
79;1.30833;1.29427;1.35967
80;1.2944;1.97873;1.23373
81;1.2386;1.3176;1.234
82;1.39687;1.38287;2.03007
83;1.24313;1.31307;1.30853
84;1.40133;1.3412;1.35013
85;1.2944;1.3504;1.40153
86;1.3734;1.36893;1.355
87;1.34553;1.3036;1.35493
88;1.1594;1.26173;1.3644
89;1.2712;1.2664;1.3318
90;1.4108;1.3036;1.3084
91;1.3596;1.3968;1.30827
92;1.30353;1.2944;1.3688
93;1.39227;1.29433;1.3364
94;1.4434;1.19207;1.36433
95;1.4062;1.34547;1.40147
96;1.2712;1.2992;1.40613
97;1.40153;1.3128;1.34113
98;1.29913;1.39687;1.28973
99;1.40153;1.3222;1.369
100;1.33633;1.35493;1.3736
101;1.3828;1.28033;1.27107
102;1.3038;1.3084;1.397
103;1.31293;1.40607;2.058
104;1.34573;1.29907;1.41073
105;1.33613;1.40147;1.24787
106;1.4108;1.35493;1.34107
107;1.31753;1.26167;1.32713
108;1.369;1.34107;1.35967
109;1.28493;1.39187;1.34567
110;1.4202;1.32233;1.299
111;1.36407;1.35033;1.42467
112;1.3178;1.42487;1.3458
113;1.3084;1.27107;1.3874
114;1.32713;1.33173;1.383
115;1.3362;1.31767;1.37813
116;1.31773;1.35973;1.35967
117;1.26627;1.313;2.0022
118;2.23027;1.30853;1.234
119;1.39233;1.29893;1.23393
120;1.37373;1.37347;1.36427
