rozmiar;kopiec;lista;tablica
1;1.39233;1.23393;1.72753
26;1.31287;1.3178;1.4154
51;1.3456;1.1968;1.45747
76;1.45733;1.2992;1.4994
101;1.45273;1.1826;1.45267
126;1.39227;1.17807;1.4156
151;1.4016;1.2012;1.40147
176;1.2992;1.17813;1.4808
201;1.38767;1.18267;1.4854
226;2.1464;1.24327;1.41093
251;1.4248;1.2664;1.4248
276;1.40167;1.136;1.4296
301;1.37367;1.10833;1.383
326;1.39687;1.09893;1.48533
351;1.35953;1.1826;1.3922
376;1.41107;1.1732;1.5272
401;1.33633;1.1734;1.45287
426;1.40153;1.13613;1.42027
451;1.3782;1.2152;2.05807
476;1.35973;1.20127;1.48067
501;1.29887;1.30833;1.42027
526;1.3084;1.3364;1.48547
551;1.4016;1.3316;1.42967
576;1.37373;1.22;1.40613
601;1.35967;1.27127;1.532
626;1.29913;1.17347;1.49927
651;1.40627;1.21527;1.37833
676;1.3456;1.25707;1.43413
701;1.42487;1.18727;1.49
726;1.37347;1.21533;2.1792
751;1.4388;1.3318;1.4572
776;1.369;1.22933;1.42947
801;1.35493;1.35033;1.42927
826;1.42013;1.17787;1.40147
851;1.31313;1.16873;1.48067
876;1.4062;1.15007;1.43867
901;1.29447;1.192;1.47133
926;1.29447;1.2386;1.46207
951;1.43407;1.1036;1.48067
976;1.35027;1.33627;1.39213
1001;1.369;1.2992;1.44353
1026;1.35493;1.18273;1.49473
1051;1.38293;1.21527;1.48067
1076;1.32247;1.21513;1.425
1101;1.43873;1.29913;1.4668
1126;1.40147;1.17813;1.44793
1151;1.40153;1.21547;1.42027
1176;1.96027;1.25253;1.45273
1201;1.3922;1.12227;1.49007
1226;1.4246;1.16413;1.4946
1251;1.32687;1.18267;1.44347
1276;1.3922;1.16413;1.44787
1301;1.33633;1.26653;1.46207
1326;1.3364;1.27107;1.43413
1351;1.28053;1.25707;1.4156
1376;1.30847;1.14547;1.46213
1401;1.327;1.17333;1.4202
1426;1.4016;1.2944;1.39233
1451;1.33633;1.19213;1.4296
1476;1.40167;1.2526;1.46667
1501;1.37833;1.74613;1.43893
1526;1.44347;1.16853;1.45733
1551;1.35947;1.14087;1.45733
1576;1.3364;1.36447;1.4156
1601;1.3876;1.122;1.49473
1626;1.46213;1.234;1.43873
1651;1.36907;1.38293;1.40627
1676;1.3364;1.2944;1.48973
1701;1.4296;1.21533;1.4294
1726;1.43873;1.24787;1.4202
1751;1.36427;1.271;1.4668
1776;1.38287;1.25707;1.434
1801;1.4342;1.17333;1.45287
1826;1.37833;1.27127;1.4668
1851;1.4014;1.3596;1.3738
1876;1.3736;1.2292;1.42473
1901;1.31753;1.2338;1.49007
1926;1.27127;1.10813;1.45287
1951;1.42953;1.15;1.425
1976;1.383;1.24787;1.4622
2001;1.37833;1.3178;1.49
2026;1.4062;1.3224;1.49013
2051;1.327;1.2106;1.5274
2076;1.3644;1.178;1.4762
2101;1.44327;1.192;1.38753
2126;1.31307;1.23867;1.43413
2151;1.4062;1.26167;1.4342
2176;1.31293;1.178;1.4714
2201;1.34567;1.2106;1.43393
2226;1.27107;1.31773;1.39227
2251;1.42013;1.20133;1.49007
2276;1.4574;1.2898;1.39687
2301;1.3968;1.28047;1.48533
2326;1.42493;1.20587;1.3922
2351;1.36427;1.40153;1.439
2376;1.36413;1.23873;1.45267
2401;1.32247;1.35973;2.1326
2426;1.4246;1.1872;1.48067
2451;1.37347;1.22933;1.4202
2476;1.3922;1.21067;1.45733
2501;1.39693;1.33627;1.48533
2526;1.4062;1.28973;1.51793
2551;1.44347;1.30387;1.4014
2576;1.35947;1.23853;1.40127
2601;1.3364;1.24333;1.4388
2626;1.42947;1.84867;1.4296
2651;1.32253;1.21993;1.397
2676;1.36447;1.178;1.43393
2701;1.36887;1.14533;1.42493
2726;1.39687;1.19673;1.53647
2751;1.42947;1.33173;1.4946
2776;1.32707;1.23867;1.40167
2801;1.29907;1.28033;1.43873
2826;1.43413;1.2666;1.36413
2851;1.37833;1.2758;1.42007
2876;1.36433;1.285;1.4154
2901;1.35967;1.192;1.48067
2926;1.33167;1.20607;1.41087
2951;1.34553;1.37827;2.1232
2976;1.35513;1.18287;1.4808
3001;1.36427;1.18267;1.48047
3026;1.2618;1.15;1.51793
3051;1.39707;1.20133;1.43873
3076;1.37347;1.1314;1.4528
3101;1.36427;1.22447;1.4156
3126;1.3598;1.206;1.4016
3151;1.37373;1.42013;1.43413
3176;1.3084;1.21073;1.4248
3201;1.3596;1.22013;1.4296
3226;1.3644;1.27567;1.4014
3251;1.37373;1.14553;1.52273
3276;1.285;1.1828;1.42953
3301;1.3876;1.26173;1.47587
3326;1.40147;1.1734;1.42013
3351;1.43413;1.43893;1.4436
3376;1.35493;1.1734;1.45293
3401;1.34547;1.15487;1.42013
3426;1.36413;1.178;1.46207
3451;1.39233;1.26653;1.43407
3476;1.2712;1.23853;1.4062
3501;1.39667;1.22453;1.476
3526;1.4014;1.34573;1.5228
3551;1.341;1.355;1.46193
3576;1.40147;1.17813;1.44807
3601;1.34107;1.23853;1.46673
3626;1.32693;1.2666;1.43413
3651;1.4388;1.19187;1.48533
3676;1.4388;1.24793;1.45287
3701;1.4202;1.16393;1.41073
3726;1.28053;1.18273;1.46687
3751;1.36887;1.39227;1.49007
3776;1.40153;1.2434;1.42933
3801;1.39227;1.21067;1.4108
3826;1.36893;1.20127;1.47607
3851;2.21173;1.24793;1.49467
3876;1.39687;1.3084;1.49473
3901;1.39233;1.178;1.49467
3926;1.3876;1.25707;1.4296
3951;1.40627;1.2806;1.4296
3976;1.4062;1.24327;1.4666
4001;1.285;1.3364;1.4294
4026;1.42953;1.33173;1.4574
4051;1.3876;1.30387;1.4808
4076;1.40167;1.1968;1.42947
4101;1.3642;1.29913;1.4714
4126;1.40173;1.21527;1.41547
4151;1.3456;1.35493;1.425
4176;1.2758;1.14553;1.42427
4201;1.4248;1.24327;1.42487
4226;1.35967;1.11767;1.40147
4251;1.4342;1.14527;1.42487
4276;1.42953;1.24793;1.41553
4301;1.33627;1.29907;1.4528
4326;1.271;1.16867;1.4528
4351;1.3644;1.42487;1.4296
4376;1.3502;1.23853;1.43887
4401;1.4294;1.12687;1.46647
4426;1.40133;1.23393;1.4762
4451;1.33627;1.22;1.46207
4476;1.383;1.276;1.46207
4501;1.39687;1.14993;1.42013
4526;1.42953;1.3084;1.47607
4551;1.32707;1.341;1.42027
4576;1.31313;1.20607;1.49013
4601;1.3782;1.33647;1.5178
4626;1.33173;1.1872;1.45293
4651;1.34087;1.20133;1.4386
4676;1.32713;1.2992;1.51787
4701;1.38767;1.2104;1.39687
4726;1.41547;1.75547;1.42007
4751;1.32233;1.34093;1.48067
4776;1.406;1.25713;1.44807
4801;1.37353;1.24793;1.45727
4826;1.3644;1.19667;1.49467
4851;1.42947;1.1874;1.48073
4876;1.38747;1.19673;1.52693
4901;1.38767;1.21067;1.46687
4926;1.4528;1.22933;1.43427
4951;1.3922;1.32707;1.44347
4976;1.41087;1.2712;1.4156
5001;1.43887;1.28973;1.48547
5026;1.36427;1.2432;1.42493
5051;1.3362;1.2666;1.49927
5076;1.42947;1.1222;1.43887
5101;1.327;1.2152;1.39693
5126;2.03033;1.2526;1.41547
5151;1.46687;1.40627;1.4576
5176;1.28993;1.2896;1.4016
5201;1.42487;1.27127;1.4062
5226;1.38753;1.2572;1.43407
5251;1.42953;1.1502;1.49007
5276;1.30373;1.26653;1.43427
5301;1.3736;1.10353;1.4294
5326;1.42027;1.1872;1.44813
5351;1.42013;1.47127;1.42953
5376;1.35967;1.20607;1.5224
5401;1.46213;1.3038;1.47127
