rozmiar;kopiec;lista;tablica
1;1.4714;1.36873;1.81127
26;1.34093;1.29453;1.39213
51;1.271;1.35033;1.46653
76;1.3784;1.2666;2.05807
101;1.42953;1.397;1.91853
126;1.63453;1.26193;2.5424
151;1.50867;1.2944;2.6028
176;1.44793;1.79733;1.54127
201;1.4202;1.61573;2.4818
226;1.44347;1.79267;1.92773
251;1.36427;2.23507;1.64827
276;1.44327;2.17427;1.89507
301;1.45273;1.69013;3.15693
326;1.44807;1.68567;3.4596
351;1.39673;2.42593;1.8484
376;1.439;1.67173;3.82273
401;1.41553;1.58773;5.6386
426;1.4016;1.4622;6.26267
451;2.2212;1.39687;6.70493
476;1.276;1.6762;5.86213
501;1.34113;2.13707;5.10787
526;1.3922;3.2034;2.40267
551;1.39673;2.97507;2.5144
576;1.35973;2.61247;3.55747
601;1.32693;2.76107;3.30127
626;1.378;1.6252;7.82707
651;1.39693;2.34193;6.6118
676;1.4202;3.72513;2.09073
701;1.42013;2.74713;6.2068
726;1.43413;2.7938;6.65847
751;1.5272;1.86253;8.69327
776;1.46653;5.81593;2.63067
801;1.4156;5.71793;2.90553
826;1.3968;2.50507;8.92593
851;1.42033;6.39767;2.5378
876;1.43873;3.26413;6.94253
901;1.2384;2.87293;7.33373
926;1.397;7.34767;6.47227
951;1.37827;3.92067;6.25333
976;1.4248;6.16947;5.6946
1001;1.4342;3.1338;9.58253
1026;1.3782;7.57127;1.8206
1051;1.46667;7.88767;1.52727
1076;1.42947;2.27693;10.6071
1101;1.33647;2.45393;10.5091
1126;1.48533;7.98553;1.6622
1151;1.45267;2.51887;10.4673
1176;1.42473;7.995;2.34667
1201;1.3688;6.59347;7.01707
1226;1.36433;8.36727;2.05353
1251;1.42953;2.04873;14.0061
1276;1.37367;6.67707;7.23587
1301;1.40153;2.91493;11.6828
1326;1.41087;2.8218;11.3336
1351;1.39213;6.49087;9.00527
1376;1.38753;3.95793;9.71747
1401;1.42027;2.32347;13.0471
1426;1.4062;6.3464;9.3172
1451;1.36427;5.9648;9.54547
1476;1.41087;8.16253;6.41173
1501;1.44813;1.72287;15.1189
1526;1.3596;8.2696;6.16953
1551;1.37827;10.1505;1.7088
1576;1.3036;7.1522;9.38253
1601;1.4574;8.07407;8.3022
1626;1.34107;9.0704;5.9506
1651;1.4292;6.44893;13.3122
1676;1.45747;8.52093;7.23567
1701;1.341;7.07747;9.99233
1726;1.37847;10.6349;2.7844
1751;1.44807;3.6132;14.8536
1776;1.40147;9.79687;6.5792
1801;1.3876;9.90407;7.66413
1826;1.27593;10.5789;6.43493
1851;1.43873;6.82153;12.8559
1876;1.3876;3.64133;14.6021
1901;1.39233;6.584;13.5033
1926;1.4576;2.73787;17.1163
1951;1.45733;1.83927;18.8579
1976;1.42473;7.11013;12.8744
2001;1.4202;10.1227;7.35687
