rozmiar;kopiec;lista;tablica
0;0.000196;0.000300667;0.000393667
1;0.000141;0.000273333;0.000458933
2;0.000145733;0.000244467;0.000551
3;0.000146667;0.0002378;0.0005806
4;0.0001444;0.0002424;0.000660467
5;0.0001452;0.000247267;0.0006406
6;0.00014;0.0002336;0.000685467
7;0.000142;0.000263067;0.000757733
8;0.000141867;0.000240467;0.000858933
9;0.000142733;0.0002402;0.000843867
10;0.000139933;0.000238933;0.000855467
11;0.000140667;0.000251067;0.000882667
12;0.000140067;0.000238667;0.0009416
13;0.000136933;0.000242133;0.00101187
14;0.000136733;0.0002712;0.0011116
15;0.0001372;0.000249133;0.0010886
16;0.000136667;0.000244133;0.00117987
17;0.000135133;0.000246667;0.00117787
18;0.000139267;0.000246667;0.00125867
19;0.000136533;0.000268667;0.0013038
20;0.000137333;0.0002412;0.0013968
21;0.000137133;0.000270467;0.00133893
22;0.000136533;0.000253267;0.00142953
23;0.000137133;0.0002434;0.00144873
24;0.000137067;0.0002464;0.00155327
25;0.0001356;0.0002436;0.0015416
26;0.000140267;0.000243733;0.0015442
27;0.0001408;0.000240867;0.001586
28;0.0001404;0.000261933;0.001708
29;0.000142067;0.000242933;0.00173287
30;0.000139533;0.000246267;0.00180387
31;0.000143667;0.000243867;0.00177887
32;0.0001376;0.000248;0.00189813
33;0.000140867;0.000238867;0.00197793
34;0.000140733;0.000243667;0.00198787
35;0.0001406;0.000265;0.00197733
36;0.000140933;0.000268933;0.0020732
37;0.0001406;0.000263867;0.00207487
38;0.0001414;0.000255867;0.00210953
39;0.000141133;0.000268267;0.00218933
40;0.000140067;0.000257867;0.00224847
41;0.000138333;0.000249067;0.00226827
42;0.000144467;0.000283533;0.00230753
43;0.0001462;0.0002602;0.00232053
44;0.000144133;0.000275667;0.0024346
45;0.000144067;0.000251933;0.0024412
46;0.000143667;0.000253867;0.00244987
47;0.000142933;0.0002418;0.00245253
48;0.000142333;0.000240867;0.00254273
49;0.000140533;0.000267467;0.00255207
50;0.000143;0.000266;0.00267073
51;0.000144133;0.000233333;0.00289427
52;0.000144933;0.000234267;0.00273467
53;0.000142733;0.000235267;0.00273093
54;0.0001436;0.000234467;0.00279793
55;0.000145733;0.0002292;0.00279947
56;0.000144533;0.000254267;0.0032874
57;0.000147667;0.0002464;0.0029486
58;0.0001444;0.000239467;0.00295087
59;0.0001456;0.000245067;0.0029704
60;0.000142667;0.000240867;0.003105
61;0.000143667;0.000242733;0.0031388
62;0.000142267;0.000228133;0.0031502
63;0.000139267;0.000262;0.0032264
64;0.0001404;0.000247867;0.00329353
65;0.0001396;0.000244867;0.0032782
66;0.000142267;0.000239333;0.00338133
67;0.000145267;0.0002368;0.00337233
68;0.000143667;0.0002396;0.00338993
69;0.000142867;0.000235267;0.00338813
70;0.000144667;0.000258;0.0034156
71;0.000148467;0.000241867;0.00355333
72;0.000145333;0.000243067;0.00363813
73;0.000143733;0.0002504;0.00365613
74;0.000146067;0.0002386;0.003666
75;0.000145933;0.0002352;0.00369307
76;0.000146867;0.000228733;0.00373253
77;0.0001428;0.000262667;0.00378387
78;0.0001466;0.000245267;0.0038636
79;0.000139133;0.000240333;0.00387527
80;0.000138733;0.000239733;0.00414127
81;0.000141067;0.0002416;0.003932
82;0.000140733;0.000232;0.0040186
83;0.0001362;0.000229267;0.0040446
84;0.000135867;0.000257667;0.00408813
85;0.0001388;0.000245333;0.0041018
86;0.0001458;0.000248267;0.00418287
87;0.000139467;0.000251067;0.00419073
88;0.000167067;0.0002458;0.00429847
89;0.000142267;0.000229867;0.0043006
90;0.000142133;0.000229333;0.00430527
91;0.000140467;0.000255067;0.0046674
92;0.0001398;0.000236467;0.00455233
93;0.000140733;0.0002394;0.00458733
94;0.000143067;0.0002354;0.00461153
95;0.000142733;0.000233733;0.00464033
96;0.000138733;0.000228733;0.0046978
97;0.0001364;0.000228667;0.0047544
98;0.000136533;0.0002572;0.0047854
99;0.0001358;0.000241133;0.00480493
100;0.000136733;0.000243667;0.00490993
101;0.000136333;0.000241333;0.0049114
102;0.000136067;0.0002374;0.00496887
103;0.000138733;0.0002306;0.005023
104;0.000142933;0.000234467;0.00507073
105;0.000140067;0.0002568;0.00517027
106;0.000140667;0.000238267;0.00513833
107;0.000142733;0.0002354;0.00515473
108;0.000143067;0.000233733;0.0050962
109;0.000141333;0.0002426;0.005106
110;0.000146933;0.000234333;0.0051402
111;0.0001408;0.000229;0.0051324
112;0.000142467;0.000256933;0.0052676
113;0.0001422;0.0002432;0.0052598
114;0.0001394;0.0002408;0.00537733
115;0.000136667;0.000243533;0.0054136
116;0.000135933;0.0002366;0.0054414
