rozmiar;kopiec;lista;tablica
1;1.35493;1.3968;1.57853
26;1.61113;1.4248;1.9322
51;1.816;1.70413;2.291
76;1.96953;1.69487;3.6598
101;2.20707;1.87647;3.11047
126;2.47713;1.9698;3.3806
151;2.60287;2.193;3.9672
176;2.7798;2.38867;5.17787
201;2.9938;2.454;5.68527
226;3.23147;2.67733;5.82507
251;3.35253;2.97993;6.33707
276;3.4456;2.97093;6.73293
301;4.49327;3.81347;7.01233
326;4.3676;3.29673;7.3802
351;5.89467;3.8972;7.75727
376;6.5142;3.916;9.0796
401;6.137;4.079;9.18213
426;6.39753;4.50267;9.6712
451;6.6816;5.56887;8.91227
476;7.2872;5.7738;9.5546
501;6.9192;6.09047;10.0018
526;7.31513;6.0296;10.4859
551;7.03573;6.28593;11.3985
576;7.76653;6.44427;11.1007
601;7.79473;6.64473;11.4357
626;7.84587;6.97027;11.6315
651;8.41387;7.04033;12.4369
676;8.21833;7.11013;12.5391
701;8.82373;7.54327;13.7545
726;8.493;7.98073;13.2333
751;9.10767;8.763;14.2018
776;10.2995;7.75727;14.2761
801;10.2903;7.98093;14.0851
826;9.48487;7.98567;14.6533
851;9.75493;8.642;15.0257
876;10.1088;9.7408;16.6742
901;9.81067;8.4514;16.0501
926;10.4113;8.68387;16.6601
951;10.7978;9.0752;16.8556
976;10.7607;9.564;17.2702
1001;10.9283;9.21947;17.8659
1026;10.8119;9.1262;18.1177
1051;11.1656;9.35907;20.0919
1076;11.9433;9.8712;18.9417
1101;12.423;10.295;19.0207
1126;12.3577;15.0862;19.3421
1151;12.1202;10.3509;20.7484
1176;11.9201;10.6675;20.2035
1201;12.5766;11.0588;20.9391
1226;12.7395;10.9979;21.0277
1251;12.8609;11.3941;21.0045
1276;13.559;12.0413;21.6425
1301;12.8233;11.799;21.9544
1326;13.1958;12.437;23.0301
1351;13.6987;12.302;22.2103
1376;14.1365;13.3541;23.3047
1401;13.7079;12.9814;23.5283
1426;14.4344;12.0179;23.4303
1451;15.0956;12.5301;24.2451
1476;14.1084;13.708;24.5617
1501;14.7977;12.8233;25.2509
1526;14.6906;13.1772;25.1113
1551;14.9187;13.587;26.1076
1576;14.9607;13.0935;26.5593
1601;15.6497;13.7731;26.8947
1626;16.255;13.7826;26.9553
1651;15.2446;14.0387;26.7736
1676;15.9337;13.7595;28.3801
1701;15.8593;15.4123;27.7512
1726;16.3531;14.5601;29.1342
1751;17.1025;14.7185;29.4695
1776;17.4283;15.3425;28.8691
1801;16.7021;14.6021;31.0062
1826;17.1395;15.3844;30.9595
1851;17.2794;15.4496;32.645
1876;17.1073;15.7242;34.3867
1901;17.4889;15.9571;34.3353
1926;17.4657;15.2073;34.9547
1951;18.7088;16.1199;34.6381
1976;17.9733;16.3248;35.4342
2001;19.1187;16.1201;36.6029
2026;18.7601;16.4089;36.8916
2051;18.5226;16.1387;36.1233
2076;19.6633;16.6883;36.4354
2101;18.8717;18.2666;35.6577
2126;19.5285;18.0057;36.6774
2151;19.3886;17.8381;36.7566
2176;20.4735;17.2377;37.0919
2201;19.9104;18.5041;38.4655
2226;19.6681;19.8123;38.6891
2251;20.6133;18.2805;38.3257
2276;20.6411;18.3317;38.1769
2301;20.9951;19.0443;39.1406
2326;20.6179;19.2167;40.1091
2351;20.9997;19.8359;40.2207
2376;20.9952;18.7507;40.3093
2401;21.4607;20.0499;40.9098
2426;22.5596;19.1047;41.5665
2451;21.1116;19.4445;41.1102
2476;21.9359;19.9103;42.023
2501;21.5586;20.7159;41.6085
2526;23.7703;20.3387;42.1533
2551;22.8905;20.6925;43.1216
2576;22.8065;20.4782;43.0239
2601;22.9927;24.4175;43.3686
2626;25.2462;21.6423;44.8493
2651;23.7378;21.1162;46.9911
2676;22.7319;23.4303;47.0889
2701;23.7376;21.6331;48.5464
2726;23.8866;22.0987;46.8422
2751;23.9799;22.555;52.0571
2776;23.7515;22.4527;49.7567
2801;24.5199;23.3652;49.7895
2826;24.5618;22.2986;51.7219
2851;24.1939;23.4442;49.85
2876;25.9585;24.0589;51.8709
2901;24.8133;24.9903;51.5358
