rozmiar;kopiec;lista;tablica
1;1.34087;1.42947;1.518
26;1.5088;1.39693;1.7184
51;1.60647;1.55993;2.13253
76;1.7508;1.6762;2.35613
101;1.7974;1.86713;2.5702
126;1.91373;1.93233;2.97533
151;2.10953;2.00233;3.16187
176;1.9928;2.179;3.26873
201;2.3188;2.25807;4.4792
226;2.2118;2.18387;4.4934
251;2.58887;2.7008;5.9134
276;2.36067;2.56113;6.18347
301;2.5422;2.72867;5.6386
326;3.26413;2.938;5.5176
351;2.7752;3.399;5.9648
376;2.8964;3.1616;6.26747
401;2.8682;3.8462;7.613
426;3.17107;3.30133;6.64007
451;4.27927;4.56327;6.48147
476;3.32007;3.54347;8.02273
501;3.11947;3.9346;7.97633
526;3.32007;4.6144;7.98567
551;4.24633;4.6144;8.84213
576;4.0742;4.56307;9.20073
601;4.36287;5.457;9.07507
626;4.61447;4.9638;8.32087
651;3.334;4.80987;8.84667
676;4.00473;5.84807;10.0064
701;5.2336;6.37447;10.5
726;4.35833;5.65273;10.025
751;5.08473;5.43387;11.1052
776;3.96707;6.49087;10.5932
801;5.24747;6.989;10.2531
826;5.43853;7.5058;11.0166
851;5.55507;5.10827;12.7208
876;4.52113;6.26727;11.7895
901;4.76333;7.19853;11.1239
926;5.75967;6.7236;12.3344
951;5.6152;6.53727;12.5673
976;6.45353;7.2686;11.9527
1001;4.8704;6.82127;12.6045
1026;5.17307;7.32433;13.0889
1051;5.36393;7.5896;12.6465
1076;6.02987;7.91107;13.6384
1101;6.36973;7.77633;14.1317
1126;5.56433;7.28687;13.8151
1151;6.41173;10.011;14.183
1176;6.37913;6.85893;15.2587
1201;6.40707;9.62927;14.4577
1226;7.73867;11.0678;15.4587
1251;6.095;10.0579;15.1374
1276;6.947;10.1369;15.482
1301;5.91347;8.05987;15.6123
1326;7.6318;8.41393;16.3298
1351;6.89607;10.751;16.8976
1376;9.03313;11.2729;17.0048
1401;7.464;9.61987;18.9371
1426;8.11593;11.4639;17.1583
1451;7.6642;12.3575;16.3389
1476;8.1858;10.2997;17.7543
1501;7.49673;9.30307;19.7286
1526;10.1507;10.1367;20.292
1551;7.18467;9.34973;18.6672
1576;7.31947;11.6128;19.0581
1601;9.4894;11.1145;21.2139
1626;7.14267;13.2051;18.6902
1651;6.3;9.7456;20.1477
1676;6.10907;10.3277;18.3178
1701;7.1052;12.0505;18.1407
1726;7.61773;12.2226;18.8577
1751;9.26607;13.0749;20.7111
1776;7.9482;13.2611;19.4027
1801;7.24047;12.6649;21.0463
1826;9.04247;13.8245;23.6072
1851;7.89693;11.3843;24.5289
1876;10.0993;14.6021;20.5946
1901;8.7072;12.0364;21.9777
1926;8.29747;11.7619;22.0895
1951;11.4543;16.3295;20.5807
1976;9.68047;14.9419;24.0216
2001;10.0715;12.7954;22.3827
2026;7.26847;14.2019;20.9577
2051;8.93533;12.3157;24.7248
2076;11.0913;13.8337;26.3731
2101;10.2671;15.3145;23.6909
2126;10.4347;14.9187;26.2333
2151;10.2019;16.5621;25.9493
2176;11.2449;14.4997;26.7783
2201;7.5152;12.8421;24.9996
2226;11.9761;15.4633;28.9853
2251;10.1461;14.2625;28.7664
2276;12.5951;18.3551;26.6665
2301;10.0204;15.5567;25.3675
2326;11.2497;17.0187;27.6025
2351;11.5103;18.8206;25.2324
2376;11.2358;16.6323;26.4149
2401;11.8876;16.9023;27.6816
2426;11.1613;15.5937;28.748
2451;9.33127;15.5332;26.5034
2476;8.81893;16.5951;27.4115
2501;12.4648;16.9257;32.3704
2526;14.2481;21.4094;26.634
2551;9.54527;19.3793;26.6616
2576;10.0342;15.3284;32.0351
2601;10.8491;18.9698;26.4757
2626;8.84233;15.645;31.4485
2651;11.0355;16.0128;29.8467
2676;13.736;16.5204;31.3367
2701;10.6021;17.1397;33.1433
2726;10.3091;16.3061;31.7931
2751;10.9839;20.6272;32.3797
2776;11.133;16.7998;31.6487
2801;11.9807;18.2525;35.3875
2826;14.0667;15.8081;33.6928
2851;14.3553;18.6903;33.7859
2876;14.267;17.5076;31.0759
2901;14.9467;21.3209;35.0013
2926;13.0655;18.4342;35.462
2951;10.5513;17.8706;33.595
2976;12.6604;22.1499;36.8173
3001;14.5367;21.5026;35.4345
3026;14.1689;21.1675;38.6796
3051;12.6279;21.3909;37.1245
3076;14.4671;19.0254;36.0767
3101;12.5301;22.4155;35.9513
3126;13.4335;18.8765;39.7227
3151;15.1095;23.2673;40.4957
3176;13.1029;21.2885;39.7927
3201;17.6284;25.5771;39.3178
3226;14.5091;22.4806;36.0301
3251;17.5682;21.7262;39.7643
3276;13.2425;20.3339;43.0519
3301;19.0117;30.5405;39.2477
3326;11.0774;24.8088;40.2115
3351;17.9453;25.3115;43.9507
3376;13.9969;20.534;43.4291
3401;13.5357;17.2935;43.4803
3426;11.8503;22.4525;39.122
3451;13.0143;17.5727;42.237
3476;20.7437;25.2183;39.4385
3501;17.4657;28.1704;41.8274
3526;16.0221;31.5369;38.3819
3551;16.8651;26.7923;41.6783
3576;14.1922;29.3485;34.6286
3601;14.5647;30.0656;39.0892
3626;17.5543;25.7771;43.6663
3651;21.8891;24.0591;44.0669
3676;16.0362;30.7827;43.1635
3701;13.5357;25.0647;45.0544
3726;18.3039;31.8814;45.1098
3751;14.9605;28.4125;45.9157
3776;16.1572;29.3066;44.7002
3801;16.9815;29.153;43.4942
3826;16.5345;26.7504;51.5497
3851;15.7987;25.6003;45.9994
3876;18.0291;28.6873;52.6531
3901;18.7415;31.3135;43.1079
3926;14.3275;30.9689;38.4143
3951;21.1489;29.1296;47.6476
3976;13.75;26.8387;43.7269
4001;14.1785;21.4561;44.7467
4026;15.5801;29.8653;47.7081
4051;15.6775;29.5766;50.8604
4076;18.4574;25.316;52.4809
4101;16.9537;32.7989;45.4126
4126;19.4305;26.2474;53.7101
4151;15.9199;28.0774;49.3378
4176;18.7926;28.7057;54.5669
4201;23.5979;28.9619;56.8251
4226;21.9265;25.3021;56.3827
4251;16.8698;31.9049;47.1913
4276;25.1253;35.0199;55.2653
4301;22.3175;32.6964;51.7359
4326;17.4053;33.0084;49.6871
4351;20.1851;26.62;57.2584
4376;15.6917;30.7361;52.3176
4401;19.1512;35.4903;52.7135
4426;21.7726;30.4663;55.4936
4451;23.6678;32.9014;52.4668
4476;21.1302;34.9826;53.8265
4501;21.4328;32.5846;55.6377
4526;18.4901;33.0827;50.2971
4551;19.5889;36.6261;55.5959
4576;20.7623;39.2056;51.8988
4601;20.3479;32.9571;50.5997
4626;20.6459;32.9339;57.8028
4651;25.4466;38.4933;58.7111
4676;20.7949;36.8683;51.8758
4701;21.4002;32.2819;57.7564
4726;20.6971;39.4155;55.4003
4751;25.1484;32.1982;58.2593
4776;21.9589;30.6381;60.9458
4801;20.618;33.4319;58.2591
4826;17.5775;27.2624;59.2231
4851;21.4607;36.8545;59.0323
4876;26.2149;50.0363;51.7034
4901;22.5599;38.4141;53.8171
4926;20.1199;34.4285;56.4015
4951;17.7544;41.2826;51.7032
4976;18.56;37.5341;59.8843
5001;15.6451;34.8427;51.3959
5026;16.5205;34.9875;63.2043
5051;23.6866;37.1851;54.404
5076;24.1613;38.8847;64.5079
5101;21.8752;33.5951;62.2728
5126;22.0053;50.1717;53.2538
5151;25.0367;40.3279;57.2163
5176;27.067;40.8215;58.9251
5201;20.1757;45.1984;57.2583
5226;29.5861;51.7034;60.0798
5251;27.7328;40.1977;63.8981
5276;27.5557;45.189;69.7044
5301;18.8764;39.7738;59.5676
5326;24.5523;50.3531;55.1862
5351;20.1011;47.3263;58.2081
5376;23.4163;49.5008;62.9389
5401;23.9799;50.4554;63.628
5426;20.5294;39.9695;65.2949
5451;21.9079;51.2423;58.1662
5476;26.4895;32.2865;66.6963
5501;23.7657;29.6557;69.1734
5526;20.553;40.6354;60.1359
5551;31.1876;56.4201;62.7293
5576;21.2373;34.4845;64.5965
5601;27.4256;39.9507;69.5833
5626;25.0972;42.4699;64.0609
5651;30.7313;40.0763;70.2306
5676;21.2976;45.7527;67.6463
5701;20.5251;41.9902;66.0631
5726;32.6917;45.7295;70.3051
5751;18.9834;42.2231;62.9527
5776;21.6749;45.4266;74.4675
5801;24.0031;55.7869;63.6606
5826;27.365;54.6367;63.7909
5851;19.8497;44.6349;69.2016
5876;33.9165;45.2263;71.7626
5901;27.0343;47.3216;67.6089
5926;25.7771;48.8119;69.7974
