rozmiar;kopiec;lista;tablica
0;0.000212;0.000231933;0.0002778
1;0.000273667;0.000190667;0.0003216
2;0.000365667;0.0001784;0.000586267
3;0.0002136;0.000181667;0.0002546
4;0.00026;0.0001758;0.000319067
5;0.0002062;0.000174867;0.000249133
6;0.000208;0.0002192;0.000253533
7;0.000206333;0.000275;0.000311533
8;0.000251533;0.000196467;0.000631133
9;0.000215267;0.000195267;0.000327933
10;0.000219467;0.000213667;0.000309533
11;0.000210267;0.000188133;0.0002976
12;0.000205;0.000175533;0.000300467
13;0.0001932;0.000176067;0.000265533
14;0.000185133;0.000193133;0.000301333
15;0.000185067;0.000257267;0.0003174
16;0.000270267;0.000189667;0.0005258
17;0.000207267;0.0002088;0.000382933
18;0.000225733;0.000213667;0.000357
19;0.000212733;0.0002138;0.000351267
20;0.000187933;0.000200867;0.000360267
21;0.0002096;0.0001866;0.000384333
22;0.000204867;0.000184;0.000334733
23;0.000191733;0.000252467;0.0003052
24;0.0001854;0.000207067;0.000283933
25;0.000183867;0.000175267;0.0002728
26;0.000192467;0.000411667;0.000318133
27;0.000205067;0.0001974;0.0003344
28;0.000210133;0.0001994;0.000289
29;0.000205133;0.000196133;0.000305267
30;0.000198667;0.000204867;0.0003586
31;0.0001956;0.000264333;0.0004012
32;0.000270267;0.000189867;0.0005368
33;0.000203333;0.000201267;0.000361867
34;0.000203533;0.000180467;0.000397333
35;0.000192067;0.000180733;0.000379267
36;0.000187467;0.000174467;0.0003544
37;0.000185133;0.000174533;0.000359933
38;0.000206333;0.000203667;0.000419467
39;0.000205467;0.0002688;0.0004118
40;0.0002086;0.000196733;0.000416133
41;0.000200333;0.000206;0.0003576
42;0.000216067;0.000216067;0.000377667
43;0.000213267;0.0001808;0.000406533
44;0.000201;0.0001738;0.0003946
45;0.000194933;0.0001742;0.000353
46;0.000183667;0.000195467;0.000371667
47;0.000184733;0.000251867;0.000326267
48;0.0002088;0.0001942;0.000385067
49;0.0002058;0.000203733;0.000341733
50;0.0002244;0.000221733;0.000405533
51;0.000202;0.0002084;0.000358867
52;0.000191867;0.0002002;0.000349133
53;0.000207333;0.000180733;0.000405533
54;0.0002032;0.000181467;0.000395333
55;0.000194267;0.000247667;0.0003512
56;0.000185667;0.0001982;0.0003232
57;0.000185;0.000181467;0.0002958
58;0.0001962;0.000175;0.000295533
59;0.000209267;0.000199133;0.000428933
60;0.000209;0.000197467;0.000407
61;0.000208867;0.0001956;0.000390333
62;0.0002038;0.0002112;0.000386267
63;0.000201533;0.000268;0.0004208
64;0.000268867;0.000178733;0.000530867
65;0.000190333;0.0001974;0.000431133
66;0.0001938;0.000177133;0.000449267
67;0.000188467;0.0001804;0.0004366
68;0.000184533;0.000174333;0.0003924
69;0.000186467;0.000177667;0.000427933
70;0.0002054;0.0002046;0.000410533
71;0.000209467;0.000270733;0.000421667
72;0.000209133;0.000197933;0.000491267
73;0.000204867;0.0001968;0.000433267
74;0.000216467;0.000212667;0.000468133
75;0.000209733;0.0001814;0.000431933
76;0.000197267;0.000174867;0.000425067
77;0.000190133;0.000174933;0.000421333
78;0.0001838;0.000191467;0.0004232
79;0.000185;0.000249733;0.0003888
80;0.000205467;0.000194133;0.000454267
81;0.000205467;0.0002068;0.000418333
82;0.000227867;0.000215067;0.000444533
83;0.000201733;0.000209733;0.00045
84;0.0001968;0.000195867;0.000446733
85;0.00021;0.000182133;0.000455
86;0.000196467;0.0001824;0.0004312
87;0.000190133;0.000249267;0.0003822
88;0.0001878;0.0001964;0.000346
89;0.000184933;0.0001824;0.0003852
90;0.0001966;0.000174533;0.000335933
91;0.000205267;0.000197067;0.000432667
92;0.000205467;0.0001994;0.000405
93;0.000212733;0.000199267;0.000401733
94;0.0002042;0.000203467;0.000375067
95;0.0001992;0.000272267;0.000382267
96;0.000206933;0.0001778;0.000461533
97;0.000192667;0.000196133;0.000419067
98;0.0001872;0.000174733;0.000420267
99;0.0001912;0.000186667;0.000384467
100;0.000187733;0.000175267;0.000369067
101;0.000186733;0.000174933;0.000390467
102;0.000209333;0.0002076;0.000462933
103;0.000205267;0.0002778;0.000456
104;0.0002056;0.000200533;0.0004194
105;0.0002032;0.0001976;0.000410067
106;0.0002242;0.000213467;0.0004324
107;0.000210533;0.000176467;0.000449667
108;0.000190667;0.000174133;0.000437467
109;0.000187667;0.000173867;0.000411667
110;0.0001848;0.000190933;0.000390867
111;0.000189067;0.000256;0.000328867
112;0.000209133;0.0001986;0.000430867
113;0.000211933;0.0002076;0.000404867
114;0.000222533;0.000213733;0.000417867
115;0.000203067;0.000214133;0.0003608
116;0.000209867;0.000197267;0.000404533
117;0.000210333;0.000184533;0.000447867
118;0.000192;0.000182467;0.000430067
119;0.000188133;0.000254533;0.000428
120;0.000184733;0.000198933;0.0004016
121;0.000192933;0.0001806;0.000360333
122;0.000187;0.0001762;0.000355933
123;0.000209933;0.000199667;0.000445133
124;0.000205867;0.000202733;0.0004082
125;0.000206067;0.000196333;0.000440267
126;0.000203933;0.000206933;0.000348733
127;0.000204467;0.000280467;0.000414867
128;0.000271133;0.000187067;0.0011004
129;0.0001918;0.0001954;0.0004886
130;0.000190733;0.000173733;0.000468533
131;0.000197;0.000176467;0.000496733
132;0.000186;0.000180267;0.000388333
133;0.000186333;0.000175533;0.0004402
134;0.000205267;0.000204933;0.0004198
135;0.000205133;0.000275333;0.000437
136;0.000204933;0.000199067;0.000510333
137;0.0002072;0.000200067;0.0004796
138;0.0002248;0.000216867;0.0004658
139;0.000207733;0.000177533;0.0004502
140;0.000190133;0.000175;0.0004984
141;0.000187;0.000175;0.0004234
142;0.000184533;0.0001926;0.000481533
143;0.000188133;0.000258667;0.000407
144;0.0002066;0.0002022;0.000438133
145;0.0002054;0.000208667;0.000453533
146;0.000225067;0.000212133;0.0004324
147;0.000199933;0.000210867;0.0004996
148;0.000202733;0.000201667;0.0005034
149;0.000207467;0.000184133;0.0005182
150;0.000193467;0.000182067;0.0005006
151;0.000188533;0.000255733;0.0004562
152;0.000187267;0.000199733;0.0004162
153;0.000186533;0.0001792;0.000434467
154;0.000199933;0.000174333;0.000403333
155;0.000209467;0.000202933;0.000480467
