rozmiar;kopiec;lista;tablica
0;0.000213467;0.000242733;0.0002806
1;0.000373467;0.000182867;0.000361533
2;0.000502333;0.000241667;0.000763933
3;0.000424267;0.000252533;0.0003346
4;0.0004476;0.0002564;0.000549867
5;0.000403333;0.000250533;0.0004222
6;0.000403933;0.0002866;0.000473067
7;0.000500133;0.000341733;0.000471533
8;0.000540267;0.00028;0.000930333
9;0.000484667;0.000275733;0.000601267
10;0.000487533;0.000314467;0.000608533
11;0.000478133;0.000313067;0.000650267
12;0.0004742;0.000324733;0.000668933
13;0.000473667;0.000326267;0.0006374
14;0.0004608;0.0003304;0.000618667
15;0.000563667;0.000375667;0.0006212
16;0.000636267;0.000338067;0.000978133
17;0.000579733;0.0003664;0.000797067
18;0.000576067;0.000382667;0.000843333
19;0.000546267;0.000366933;0.000814867
20;0.000532333;0.0003644;0.000798533
21;0.000571667;0.000388333;0.000944867
22;0.000572533;0.0004042;0.0009492
23;0.000552067;0.000456867;0.0009308
24;0.000537;0.000410267;0.0009628
25;0.000536;0.0004014;0.000953867
26;0.000550667;0.000404333;0.000970933
27;0.000581333;0.0004382;0.00103927
28;0.000564733;0.000443133;0.00100713
29;0.000568;0.000452133;0.0010038
30;0.0005658;0.0004588;0.00105307
31;0.000674333;0.0007128;0.00110467
32;0.000738;0.0004808;0.00134313
33;0.000651;0.000484467;0.00124867
34;0.000627733;0.000489133;0.0012354
35;0.0006246;0.000489133;0.00122627
36;0.000633;0.000484667;0.00128793
37;0.000653067;0.000490267;0.0013124
38;0.000668;0.0005302;0.00133047
39;0.000668333;0.0006066;0.0013416
40;0.000662267;0.0005174;0.001396
41;0.0006562;0.000546667;0.00139007
42;0.000668267;0.000563067;0.001414
43;0.000675867;0.0005724;0.00145767
44;0.000648133;0.000551733;0.00144033
45;0.000652533;0.000551267;0.00142067
46;0.000656467;0.000585667;0.00140447
47;0.000634933;0.000641533;0.00140967
48;0.000644733;0.000581133;0.0015632
49;0.000635133;0.000605933;0.0015684
50;0.000656533;0.000632933;0.001601
51;0.000631267;0.000617933;0.00154493
52;0.000631333;0.0006408;0.00161773
53;0.0006642;0.000625333;0.00171247
54;0.000645733;0.000841933;0.00172327
55;0.000641867;0.000707933;0.00168847
56;0.000630667;0.000662267;0.00166513
57;0.000628667;0.000654333;0.00167873
58;0.000629333;0.000656667;0.00169813
59;0.0006432;0.000688533;0.00179833
60;0.0006344;0.0006962;0.0018986
61;0.0006476;0.000701867;0.00189087
62;0.000647933;0.000713067;0.00189547
63;0.0007586;0.0007864;0.00193647
64;0.000831467;0.000735667;0.0020866
65;0.000748733;0.000734267;0.00200333
66;0.0007238;0.000722333;0.00199147
67;0.0007262;0.0007274;0.00197467
68;0.000722733;0.0007396;0.00196293
69;0.000733067;0.000739667;0.0019912
70;0.000756333;0.000774533;0.00209447
71;0.0007504;0.000853267;0.00209713
72;0.0007294;0.000769133;0.00219227
73;0.000731867;0.000793533;0.00220433
74;0.000745467;0.000814467;0.00221533
75;0.000758;0.0007936;0.0022304
76;0.000730533;0.000795933;0.00223
77;0.0007242;0.000803;0.00224193
78;0.0007366;0.000824333;0.0022254
79;0.000719333;0.000893533;0.00222773
80;0.0007364;0.000829;0.00237533
81;0.00075;0.000854533;0.00236913
82;0.0007634;0.000883533;0.0023206
83;0.000756467;0.000876067;0.00239407
84;0.0007392;0.000894533;0.0024034
85;0.0007586;0.000873333;0.00249647
86;0.0007348;0.0008788;0.00247233
87;0.000717667;0.000949933;0.00247713
88;0.000712333;0.000907533;0.00242167
89;0.000713333;0.0009018;0.00243713
90;0.000724533;0.0009072;0.00246967
91;0.0007452;0.000935267;0.00256453
92;0.0007334;0.0009442;0.00255727
93;0.0007308;0.0009514;0.00258387
94;0.0007326;0.000970467;0.00267967
95;0.000737267;0.001038;0.0026844
96;0.00094;0.000982;0.00276667
97;0.000719733;0.000992267;0.0029486
98;0.000710267;0.000972733;0.0027452
99;0.000706933;0.000980067;0.00272593
100;0.000712533;0.000985733;0.0027248
101;0.000730333;0.000990467;0.00272827
102;0.000743667;0.00103387;0.0028092
103;0.000725067;0.00110753;0.00281753
104;0.000719667;0.00102273;0.00292147
105;0.000730667;0.0010488;0.00294113
106;0.000744867;0.00107833;0.0029376
107;0.0007242;0.001056;0.00299273
108;0.0006938;0.00105953;0.00299373
109;0.0007128;0.0010644;0.00295487
110;0.000719733;0.00108227;0.0029548
111;0.000730733;0.0011572;0.00294267
112;0.000742133;0.00109533;0.00305973
113;0.000744467;0.00111853;0.003078
114;0.000748733;0.00114493;0.00311593
115;0.0007396;0.00113253;0.00305413
116;0.000735267;0.00114727;0.00315007
117;0.0007602;0.00113767;0.00321153
118;0.0007404;0.00113493;0.00321693
119;0.000714133;0.00120627;0.00320487
120;0.000722733;0.00115873;0.00326567
121;0.000724067;0.00115367;0.00328607
122;0.000737067;0.0011674;0.00327833
123;0.000758267;0.0011902;0.0033922
124;0.0007542;0.00119233;0.00341947
125;0.000758;0.0012006;0.003407
126;0.000761867;0.00121427;0.0034664
127;0.000884533;0.0012844;0.0035058
128;0.0009396;0.0012194;0.00449353
129;0.000881;0.0012312;0.00364073
130;0.000818;0.00121787;0.0035882
131;0.000815067;0.00122693;0.0035578
132;0.000803333;0.00123053;0.00350373
133;0.0008136;0.00123827;0.00351473
134;0.000846867;0.00128073;0.00359827
135;0.000819667;0.00134867;0.00361393
136;0.000818133;0.00126373;0.0036466
137;0.000831533;0.00129593;0.00365193
138;0.000845267;0.00132007;0.00372453
139;0.000852267;0.00130573;0.003704
140;0.000819867;0.00128947;0.003846
141;0.0008168;0.00130507;0.00384313
142;0.000814067;0.00132407;0.00385093
143;0.000816933;0.00140253;0.0038332
144;0.000830467;0.00132393;0.00392513
145;0.0008264;0.0013562;0.00395187
146;0.000834867;0.00139167;0.00400487
147;0.0008314;0.001372;0.0039476
148;0.000811467;0.00137947;0.00399833
149;0.000843533;0.0013706;0.00405073
150;0.000821533;0.00137393;0.0042468
151;0.0008024;0.0014526;0.0040258
152;0.000816333;0.00141453;0.004039
153;0.000818533;0.00140487;0.0042446
154;0.000823067;0.0014006;0.00403527
155;0.000845133;0.00143213;0.00415273
156;0.000824267;0.00143933;0.00417053
157;0.0008246;0.0014434;0.0041678
158;0.000836067;0.0014686;0.0041754
159;0.000832333;0.00155133;0.004163
160;0.000828;0.00149713;0.00431367
161;0.000812867;0.00149887;0.00435127
162;0.000802;0.00148133;0.004306
163;0.0008074;0.00148813;0.0042788
164;0.000811333;0.00150147;0.00437853
165;0.0008216;0.0015024;0.00436473
166;0.0008292;0.001541;0.00443367
167;0.000827467;0.00164027;0.004461
168;0.000834467;0.0015424;0.0045598
169;0.0008284;0.0015668;0.0045074
170;0.000832867;0.0016012;0.00455067
171;0.000833533;0.00157307;0.0045898
172;0.000814067;0.00157147;0.00479933
173;0.000792467;0.00158547;0.00457653
174;0.000804867;0.00160267;0.00452947
175;0.000828733;0.0016848;0.00473833
176;0.000827867;0.00183833;0.004698
177;0.0008254;0.00163347;0.00470853
178;0.000850533;0.00164993;0.0046848
179;0.000813533;0.0016352;0.00470293
180;0.000799733;0.0016456;0.00470107
181;0.00103173;0.00163307;0.00468207
182;0.000810933;0.0016408;0.00485167
183;0.0008044;0.0017348;0.00484427
184;0.000799133;0.00169573;0.00480967
185;0.000800133;0.00168567;0.00479933
186;0.000817667;0.0016956;0.00476053
187;0.000825333;0.00173773;0.0048854
188;0.000823933;0.0017364;0.00493067
189;0.000817933;0.0017332;0.00525893
190;0.000824;0.00174567;0.0054862
191;0.0008228;0.001845;0.0049566
192;0.000815267;0.00177553;0.00527653
193;0.0007934;0.00176827;0.00508233
194;0.000779;0.00175473;0.00504587
195;0.000792467;0.00175993;0.00502407
196;0.000801467;0.00200313;0.00500127
197;0.000814933;0.00179133;0.00502253
198;0.000833;0.0018068;0.00514647
199;0.000835;0.00189067;0.0051722
200;0.0008326;0.00180813;0.00525533
201;0.0008268;0.00182427;0.0055568
202;0.0008334;0.00185493;0.0053258
203;0.000830333;0.00182193;0.00529993
204;0.000788467;0.0018286;0.0055076
205;0.000792333;0.00184173;0.00544273
206;0.000810267;0.00185813;0.00549093
207;0.0008296;0.00195167;0.00564847
208;0.000833467;0.00190193;0.0055302
209;0.000836667;0.0019264;0.0054042
210;0.000840733;0.00192633;0.00546093
211;0.000827467;0.00192713;0.00543413
212;0.000819467;0.0019268;0.0055148
213;0.000839333;0.00191527;0.005529
214;0.000826;0.0019246;0.00556373
215;0.000802333;0.00201293;0.0055476
216;0.0007966;0.00198613;0.00560587
217;0.0008228;0.0019594;0.0055922
218;0.000816667;0.00196027;0.00556567
219;0.000839067;0.00199193;0.00573807
220;0.0008154;0.00200227;0.00577707
221;0.000813733;0.00203047;0.00575653
222;0.000831667;0.0020678;0.00573927
223;0.0008296;0.00214093;0.00564653
224;0.000831133;0.0020798;0.00600213
225;0.000799267;0.00235787;0.00580727
226;0.000792133;0.00207607;0.00580627
227;0.0008012;0.0020744;0.0062056
228;0.0007992;0.002089;0.00585
229;0.0007978;0.00209113;0.00584807
230;0.000828533;0.00212993;0.00595713
231;0.000812333;0.0022168;0.00609373
232;0.000816267;0.00212973;0.0060554
233;0.000827133;0.00237467;0.0060774
234;0.0008488;0.0021732;0.00613373
235;0.000830533;0.00214733;0.00607713
236;0.000803267;0.00216067;0.00612833
237;0.000804467;0.00216807;0.00609933
238;0.000813067;0.002174;0.00608433
239;0.000821667;0.0022792;0.00605027
240;0.0010466;0.00219807;0.006145
241;0.0008348;0.00221953;0.006162
242;0.000844067;0.00225947;0.006177
243;0.000824867;0.00224853;0.0061874
244;0.000813333;0.00225213;0.006178
245;0.000826867;0.0022428;0.00618093
246;0.000819133;0.0022278;0.00632687
247;0.0008118;0.00231993;0.00632793
248;0.0008166;0.0022698;0.00631393
249;0.000809133;0.00247887;0.00628133
250;0.000819467;0.00228047;0.00626627
251;0.000841267;0.00230147;0.0067776
252;0.000837333;0.0023052;0.00642647
253;0.000845867;0.00230967;0.00643273
254;0.00084;0.00233053;0.0064308
255;0.000989933;0.00241607;0.0064002
256;0.00102953;0.0023372;0.00715593
257;0.000940133;0.00234853;0.00655307
258;0.0009186;0.0023294;0.0065718
259;0.000910333;0.00234367;0.006521
260;0.000907933;0.00235467;0.006544
261;0.000905467;0.00236067;0.0063878
262;0.000914667;0.0024076;0.00642533
263;0.0009188;0.0024892;0.006454
264;0.000903867;0.00239127;0.00653613
265;0.000897133;0.00240733;0.00652027
266;0.0009216;0.00244413;0.00660107
267;0.0009238;0.0024108;0.00659907
268;0.0008932;0.00242267;0.00668333
269;0.000885;0.0024226;0.00672693
270;0.000901867;0.00245927;0.0068446
271;0.000891533;0.00255733;0.006801
272;0.000917533;0.00249627;0.00682747
273;0.000916933;0.00252073;0.00688027
274;0.000929933;0.00255693;0.00686993
275;0.0009206;0.0025398;0.00684287
276;0.000910133;0.0025518;0.00687693
277;0.000926867;0.00254353;0.00690133
278;0.0009094;0.00255567;0.00694353
279;0.000907933;0.00266033;0.006924
280;0.0009238;0.00260107;0.00696693
281;0.000927733;0.00255173;0.0070004
282;0.000936467;0.0025506;0.0069892
283;0.000935533;0.00259633;0.00705973
284;0.000926867;0.00260867;0.00716133
285;0.000908667;0.0026008;0.00721087
286;0.0009262;0.00261793;0.00712947
287;0.000927333;0.00271693;0.0071228
288;0.000926133;0.00263953;0.00725747
289;0.000902267;0.00263753;0.00725
290;0.000892667;0.00262213;0.007292
291;0.000891867;0.00263213;0.00746547
292;0.000892867;0.00265007;0.00731373
293;0.000918333;0.00264727;0.00734247
294;0.0009272;0.00269313;0.0073624
295;0.000924267;0.00279127;0.0073708
296;0.000926933;0.00269287;0.0073718
297;0.000921333;0.00270607;0.0073662
298;0.000941133;0.00273267;0.00751187
299;0.000921533;0.00270253;0.00747093
300;0.000890067;0.00271027;0.00750813
301;0.000897333;0.00271687;0.0075782
302;0.000899933;0.0027318;0.00753253
303;0.000916667;0.00283733;0.00747107
304;0.000921467;0.00273733;0.007635
305;0.000922733;0.00274533;0.007856
306;0.000939933;0.00277647;0.007632
307;0.000907667;0.00276313;0.00762193
308;0.000898;0.00276693;0.0076256
309;0.0009268;0.00275687;0.00772627
310;0.0009124;0.00278207;0.0076424
311;0.000915333;0.0028784;0.0076686
312;0.000917333;0.0028394;0.007844
313;0.000921867;0.002793;0.00785673
314;0.000914067;0.00288727;0.00783347
315;0.000924467;0.00286347;0.00811093
316;0.0009112;0.00287447;0.00792873
317;0.000918867;0.0028646;0.0081258
318;0.000918067;0.00287633;0.00795987
319;0.000938933;0.00298253;0.0079596
320;0.000952067;0.00294713;0.00798933
321;0.000934267;0.002929;0.00800807
322;0.000917533;0.00290733;0.00808407
323;0.000911333;0.00293373;0.00809753
324;0.00119173;0.0029332;0.00811793
325;0.000912933;0.00295673;0.00811
326;0.000928667;0.00298493;0.00818927
327;0.000929667;0.0030866;0.0081044
328;0.000907467;0.00301367;0.00843133
329;0.000910267;0.0029948;0.0081806
330;0.000919667;0.00303833;0.008438
331;0.000921067;0.0030012;0.00828927
332;0.000900467;0.00300833;0.00829847
333;0.000896;0.0030446;0.008332
334;0.000907533;0.00305093;0.00842893
335;0.000900733;0.0031796;0.0084132
336;0.0009062;0.00308947;0.0084076
337;0.000909133;0.00309453;0.00840647
338;0.000927267;0.00310893;0.00878633
339;0.000892;0.003103;0.00867813
340;0.0008928;0.0031122;0.0084092
341;0.000906067;0.00332113;0.00846647
342;0.000896933;0.0031918;0.00848493
343;0.0008914;0.00326533;0.0085324
344;0.000884733;0.0031938;0.00869987
345;0.0008914;0.00316373;0.00861593
346;0.000881;0.00316873;0.00853913
347;0.000907133;0.00319113;0.0086614
348;0.0008994;0.00318507;0.00864867
349;0.000898933;0.00320427;0.0088186
350;0.0008996;0.0032188;0.00863053
351;0.000931067;0.00333073;0.00866607
352;0.000934133;0.00329087;0.00883013
353;0.000893733;0.00328493;0.008805
354;0.000892067;0.0034838;0.00946947
355;0.000892933;0.00333013;0.00867027
356;0.000890067;0.00354813;0.0088306
357;0.0008978;0.00331127;0.00881847
358;0.000928;0.0033294;0.008871
359;0.000900333;0.00344693;0.008951
360;0.0008998;0.00336327;0.00911407
361;0.000904733;0.0033746;0.00927587
362;0.000913267;0.0036522;0.0090144
363;0.000912;0.00338667;0.00896813
364;0.000895333;0.00337407;0.0091638
365;0.000882933;0.00337473;0.00931607
366;0.000904733;0.00340887;0.00906413
367;0.000919467;0.00351593;0.00907847
368;0.000922533;0.00346573;0.0137074
369;0.000921933;0.003476;0.00919027
370;0.0009366;0.00346913;0.009185
371;0.0009226;0.00346067;0.0092026
372;0.000932733;0.0034834;0.00920553
373;0.000932933;0.0034958;0.00928787
374;0.000922933;0.00353093;0.00926253
375;0.0008972;0.00365493;0.00929607
376;0.00128013;0.00360753;0.00933607
377;0.000933533;0.00357493;0.00933087
378;0.000931533;0.00360187;0.00939893
379;0.000953067;0.003603;0.00938887
380;0.0009096;0.00359953;0.0093952
381;0.000912933;0.00360827;0.00945853
382;0.000932067;0.00362273;0.00947247
383;0.000933867;0.00373427;0.00952593
384;0.000929267;0.00366913;0.00960407
385;0.000913533;0.003732;0.00963553
386;0.000883667;0.00375447;0.00967233
387;0.000878667;0.00376693;0.00977047
388;0.000882067;0.003759;0.0096046
389;0.0008718;0.00377453;0.00967513
390;0.000900867;0.00371487;0.00975873
391;0.000899867;0.00379353;0.00971627
392;0.000893333;0.00371947;0.00961587
393;0.000903867;0.00374053;0.0096134
394;0.000917133;0.00374667;0.00970927
395;0.000913733;0.00371887;0.0097094
396;0.000881867;0.00375273;0.00971633
397;0.0008878;0.00376047;0.00977233
398;0.000885667;0.003791;0.009916
399;0.000920933;0.00388407;0.00989733
400;0.000920533;0.00384527;0.0100221
401;0.000921867;0.0038506;0.0100155
402;0.0009308;0.0038556;0.00998727
403;0.0009078;0.00388513;0.00996527
404;0.000900467;0.00387767;0.00995087
405;0.0009208;0.0039004;0.0101336
406;0.000904667;0.0039274;0.00996873
407;0.000886867;0.004039;0.0101776
408;0.0008906;0.0040056;0.0100892
409;0.0008876;0.00398213;0.0101183
410;0.000899467;0.0040034;0.0101131
411;0.000929;0.00400787;0.0101621
412;0.0009134;0.00402913;0.0101839
413;0.000909733;0.00402747;0.0103311
414;0.000927267;0.00405187;0.0102843
415;0.000933933;0.0041558;0.0102549
416;0.000926;0.00409827;0.0102256
417;0.000907067;0.00408993;0.0105216
418;0.000897067;0.004063;0.0102775
419;0.0009004;0.00433687;0.0102825
420;0.0008928;0.0041544;0.0103944
421;0.000893133;0.00416673;0.0103189
422;0.0009214;0.0041958;0.0104095
423;0.000928;0.00428833;0.0103524
424;0.000922133;0.00416167;0.0104102
425;0.000907333;0.00416773;0.0105647
426;0.000921667;0.00445447;0.010542
427;0.000922133;0.00418607;0.0110136
428;0.000884733;0.00418653;0.011298
429;0.0008822;0.00417827;0.0105589
430;0.0008908;0.0042018;0.0104262
431;0.000918667;0.0043096;0.0102741
432;0.000911267;0.00426453;0.0103863
433;0.000901333;0.00425867;0.0104014
434;0.000922667;0.00427247;0.0104287
435;0.0009038;0.0042804;0.0105807
436;0.000890133;0.0042696;0.010834
437;0.000925867;0.00428873;0.0105057
438;0.0009112;0.00460807;0.0104811
439;0.000894267;0.0044594;0.0105006
440;0.0008962;0.0044504;0.0106159
441;0.000901133;0.00446787;0.0106152
442;0.000894;0.00447573;0.0109708
443;0.000915267;0.0044684;0.011048
444;0.0009072;0.0044752;0.0107123
445;0.000911067;0.0044756;0.010674
446;0.000908133;0.00450233;0.0106859
447;0.0009192;0.00460753;0.0107025
448;0.000931333;0.00457787;0.0108078
449;0.000900067;0.00483193;0.0107909
450;0.0008846;0.00460233;0.0108535
451;0.000879;0.00454013;0.0110628
452;0.000884867;0.00476653;0.0108295
453;0.000884733;0.00461333;0.0108007
454;0.000916267;0.0045762;0.0108767
455;0.000899533;0.00468393;0.0111087
456;0.000887933;0.00464713;0.0112397
457;0.000899667;0.0046634;0.0112057
458;0.000914267;0.00469187;0.0112045
459;0.000918;0.00464987;0.0112271
460;0.0008882;0.00465673;0.0114687
461;0.0008962;0.00467253;0.0116044
462;0.000907067;0.00471093;0.0113059
463;0.000910933;0.0048074;0.0113468
464;0.000930733;0.00478507;0.0115073
465;0.0009218;0.00476553;0.0114017
466;0.000933133;0.00476827;0.0114001
