rozmiar;kopiec;lista;tablica
1;0.0359333;0.0372667;0.0362667
51;0.0357333;0.0352;0.037
101;0.036;0.0353333;0.0362667
151;0.0352667;0.0347333;0.0362
201;0.0356667;0.0352667;0.0373333
251;0.0352;0.0346;0.0374
301;0.0358;0.0354;0.0380667
351;0.0357333;0.035;0.0383333
401;0.0352;0.0347333;0.0381333
451;0.0359333;0.0349333;0.0376
501;0.0354667;0.0347333;0.0390667
551;0.0361333;0.0352667;0.0374
601;0.0357333;0.035;0.0378
651;0.0357333;0.035;0.0376
701;0.0359333;0.0358667;0.0378
751;0.0362;0.0354;0.0377333
801;0.0354;0.0351333;0.0372667
851;0.0356;0.0348667;0.0367333
901;0.0358667;0.0358;0.0372667
951;0.0356667;0.0347333;0.0378
1001;0.0356667;0.0379333;0.0378667
1051;0.0361333;0.0352;0.0360667
1101;0.0356;0.0347333;0.0402667
1151;0.0355333;0.0352667;0.0393333
1201;0.0358;0.0352667;0.0377333
1251;0.0361333;0.035;0.0439333
1301;0.0358667;0.0349333;0.0411333
1351;0.0358667;0.0351333;0.038
1401;0.0352667;0.0348;0.0380667
1451;0.0358;0.0346;0.0377333
1501;0.0359333;0.0350667;0.0430667
1551;0.0356667;0.0353333;0.0363333
1601;0.0356;0.0351333;0.0402
1651;0.0363333;0.0347333;0.0371333
1701;0.036;0.0350667;0.0367333
1751;0.886067;0.0358;0.0430667
1801;0.0362667;0.0349333;0.0392
1851;0.0358667;0.0356667;0.0396667
1901;0.0362;0.0357333;0.0409333
1951;0.0359333;0.0354667;0.0480667
2001;0.0362;0.0348;0.037
2051;0.0363333;0.0348667;0.0406
2101;0.036;0.0358667;0.0394
2151;0.0361333;0.0348;0.0374
2201;0.0357333;0.0352;0.0379333
2251;0.0362;0.0355333;0.0376667
2301;0.0356667;0.0352667;0.0396
2351;0.0358;0.0348;0.0392
2401;0.0356;0.0356667;0.0472667
2451;0.0360667;0.0359333;0.0377333
2501;0.0357333;0.0369333;0.0368
2551;0.0352667;0.035;0.0474
2601;0.0358;0.0354;0.0439333
2651;0.0368667;0.0364;0.0371333
2701;0.0359333;0.035;0.0368667
2751;0.0358;0.0350667;0.0432
2801;0.0352667;0.0382667;0.0380667
2851;0.0358;0.0350667;0.0482
2901;0.0363333;0.0352;0.0487333
2951;0.0359333;0.0350667;0.0489333
3001;0.0358;0.0397333;0.0446667
3051;0.0354;0.0353333;0.0432667
3101;0.0361333;0.0378667;0.0369333
3151;0.0361333;0.0364;0.0430667
3201;0.0356667;0.0358;0.0536
3251;0.0356;0.0408;0.0372
3301;0.0363333;0.0347333;0.0500667
3351;0.0359333;0.036;0.0413333
3401;0.0358;0.0353333;0.0487333
3451;0.0368667;0.0369333;0.0459333
3501;0.0359333;0.0454667;0.0395333
3551;0.0352667;0.0429333;0.0363333
3601;0.0359333;0.0346;0.0490667
3651;0.036;0.0438667;0.0366
3701;0.0352667;0.0365333;0.0485333
3751;0.0361333;0.0358;0.0502667
3801;0.0359333;0.0437333;0.0362667
3851;0.0356;0.0446667;0.0372
3901;0.0360667;0.0348667;0.0478667
3951;0.0360667;0.0350667;0.0487333
4001;0.0361333;0.0441333;0.0396667
4051;0.0358667;0.0401333;0.0375333
4101;0.0361333;0.0452;0.0378
4151;0.036;0.0409333;0.04
4201;0.0356667;0.0354;0.051
4251;0.0362;0.036;0.05
4301;0.0356;0.043;0.0405333
4351;0.0356;0.0394;0.0462667
4401;0.0356667;0.0353333;0.0498
4451;0.0352;0.0358;0.049
4501;0.0360667;0.0392667;0.0472667
4551;0.036;0.0359333;0.0482667
4601;0.0358;0.0352667;0.047
4651;0.0360667;0.0349333;0.0504667
4701;0.0362;0.0370667;0.0508
4751;0.0358667;0.0418667;0.0458667
4801;0.0354;0.0348;0.0468
4851;0.0365333;0.0435333;0.0423333
4901;0.0354667;0.0427333;0.0430667
4951;0.036;0.0463333;0.0397333
