rozmiar;kopiec;lista;tablica
0;0.000505267;0.0002804;0.000250133
1;0.000614267;0.000206867;0.000334667
2;0.0006296;0.0002284;0.0005106
3;0.000291933;0.000250067;0.000408067
4;0.0003526;0.0002694;0.000710067
5;0.0002714;0.000214733;0.000414133
6;0.000592133;0.0002368;0.000326067
7;0.000600933;0.0003122;0.000418667
8;0.00036;0.000267867;0.0028202
9;0.000288867;0.0003058;0.000619733
10;0.000456133;0.000259467;0.000564933
11;0.000259;0.000256733;0.000616
12;0.000455533;0.000225533;0.000526533
13;0.0002514;0.000286533;0.000665267
14;0.000262333;0.000324333;0.0006818
15;0.0007288;0.000294467;0.000442667
16;0.000737667;0.000228467;0.000691867
17;0.0004114;0.000238333;0.0005268
18;0.000695733;0.000232667;0.000465867
19;0.0006822;0.000216333;0.000438067
20;0.000773133;0.000233667;0.000420667
21;0.000689333;0.000205067;0.000735067
22;0.000275933;0.000593867;0.000951467
23;0.000547067;0.000340133;0.000673867
24;0.000524333;0.000262867;0.0005576
25;0.0005048;0.000237133;0.000512133
26;0.000273533;0.000348533;0.0008802
27;0.000570133;0.000306267;0.000758
28;0.0002886;0.000333533;0.000835667
29;0.0004228;0.000422467;0.00107553
30;0.000408267;0.0003976;0.0009736
31;0.000283133;0.000511733;0.00109953
32;0.0006646;0.0002872;0.000812533
33;0.0007066;0.000270533;0.0006312
34;0.0009252;0.00022;0.0004586
35;0.000537067;0.0002126;0.000496
36;0.000281933;0.0004796;0.00127207
37;0.000266733;0.0004072;0.00110827
38;0.000444533;0.000320467;0.0008072
39;0.0004094;0.000459867;0.00104693
40;0.000282133;0.0004434;0.00125773
41;0.000291333;0.000400733;0.0010984
42;0.000312133;0.000533933;0.00144587
43;0.0004322;0.000441867;0.00116733
44;0.000283133;0.000491533;0.00130873
45;0.000405133;0.000496133;0.00138753
46;0.000279133;0.000524267;0.00142427
47;0.000261267;0.0006044;0.00139673
48;0.000294;0.000444733;0.00120553
49;0.000274867;0.000539867;0.00145467
50;0.0002994;0.000441933;0.00107867
51;0.000252467;0.0005472;0.00146173
52;0.0008712;0.0002126;0.0005746
53;0.000258667;0.000496667;0.00138707
54;0.000474533;0.000405467;0.0011236
55;0.000419733;0.0004822;0.00105847
56;0.000405933;0.000376867;0.000902667
57;0.0002734;0.0004742;0.00132
58;0.000713333;0.000248733;0.000598067
59;0.000974933;0.000240733;0.000478933
60;0.000272533;0.000656067;0.00183247
61;0.000580533;0.000252267;0.000624133
62;0.000266067;0.0005318;0.00144873
63;0.0004358;0.0005952;0.00138827
64;0.0009048;0.000246533;0.000716267
65;0.0003998;0.000326333;0.000868667
66;0.0002762;0.000671133;0.0019632
67;0.000548467;0.000269333;0.0007614
